contest	year	month	day	time	break	hoamTeam	guestTeam	resultNumeric	homeTotalGoalsShoot	homeTotalGoalsReceived	homeTotalGoalDiff	guestTotalGoalsShoot	guestTotalGoalsReceived	guestTotalGoalDiff	homeTeamGoalsShootAtHome	homeTeamGoalsReceivedAtHome	homeTeamGoalsDiffAtHome	homeTeamGoalsShootAway	homeTeamGoalsReceivedAway	homeTeamGoalsDiffAway	guestTeamGoalsShootAtHome	guestTeamGoalsReceivedAtHome	guestTeamGoalsDiffAtHome	guestTeamGoalsShootAway	guestTeamGoalsReceivedAway	guestTeamGoalsDiffAway	hoamAvgPoints	guestAvgpoints	fortlfd
ÖFB-Cup  ÖFB-Cup	2017	10	Mi	20:30	3	FK Austria Wien	SK Rapid Wien	-1.000000	1.541667	0.708333	0.833333	1.333333	2.000000	-0.666667	1.666667	1.416667	0.250000	1.416667	1.583333	-0.166667	1.666667	3.000000	-1.333333	1.000000	1.000000	0.000000	1.416667	0.833333	83
Bundesliga  Bundesliga	2017	10	Sa	18:30	3	LASK	FK Austria Wien	0.000000	0.600000	0.600000	0.000000	1.520000	1.520000	0.000000	1.000000	1.500000	-0.500000	0.333333	1.000000	-0.666667	1.615385	1.461538	0.153846	1.416667	1.583333	-0.166667	1.000000	1.360000	84
Bundesliga  Bundesliga	2017	11	Do	19:00	5	HNK Rijeka	FK Austria Wien	-3.000000	1.333333	0.000000	1.333333	1.538462	1.538462	0.000000	0.000000	0.000000	0.000000	2.000000	1.000000	1.000000	1.615385	1.461538	0.153846	1.461538	1.615385	-0.153846	1.666667	1.346154	85
Bundesliga  Bundesliga	2017	11	So	14:00	3	FK Austria Wien	SV Mattersburg	-2.000000	1.629630	0.703704	0.925926	0.666667	1.666667	-1.000000	1.615385	1.461538	0.153846	1.642857	1.571429	0.071429	1.000000	1.750000	-0.750000	0.000000	1.500000	-1.500000	1.407407	0.333333	86
Bundesliga  Bundesliga	2017	11	Sa	18:30	13	FK Austria Wien	FC Admira Wacker Mödling	-1.000000	1.607143	0.785714	0.821429	1.200000	3.400000	-2.200000	1.571429	1.571429	0.000000	1.642857	1.571429	0.071429	1.333333	3.333333	-2.000000	1.000000	3.500000	-2.500000	1.357143	0.200000	87
Bundesliga  Bundesliga	2017	11	Do	21:05	5	AC Mailand	FK Austria Wien	4.000000	5.000000	0.000000	5.000000	1.620690	1.620690	0.000000	0.000000	0.000000	0.000000	5.000000	1.000000	4.000000	1.600000	1.666667	-0.066667	1.642857	1.571429	0.071429	3.000000	1.310345	88
Bundesliga  Bundesliga	2017	11	So	14:00	3	Wolfsberger AC	FK Austria Wien	-1.000000	0.600000	0.400000	0.200000	1.600000	1.733333	-0.133333	0.000000	1.000000	-1.000000	1.000000	2.000000	-1.000000	1.600000	1.666667	-0.066667	1.600000	1.800000	-0.200000	0.400000	1.266667	89
Bundesliga  Bundesliga	2017	11	Mi	18:30	3	SKN St. Pölten	FK Austria Wien	1.000000	0.600000	1.000000	-0.400000	1.612903	1.709677	-0.096774	0.500000	2.500000	-2.000000	0.666667	4.666667	-4.000000	1.600000	1.666667	-0.066667	1.625000	1.750000	-0.125000	0.000000	1.322581	90
Bundesliga  Bundesliga	2017	12	Do	19:00	4	FK Austria Wien	AEK Athen	0.000000	1.562500	0.781250	0.781250	2.000000	2.000000	0.000000	1.600000	1.666667	-0.066667	1.529412	1.705882	-0.176471	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	1.281250	1.000000	91
Bundesliga  Bundesliga	2017	12	So	14:00	3	SC Rheindorf Altach	FK Austria Wien	1.000000	0.666667	0.333333	0.333333	1.515152	1.636364	-0.121212	1.000000	0.666667	0.333333	0.333333	2.333333	-2.000000	1.500000	1.562500	-0.062500	1.529412	1.705882	-0.176471	0.500000	1.272727	92
Bundesliga  Bundesliga	2017	12	So	16:30	7	FK Austria Wien	SK Sturm Graz	1.000000	1.470588	0.735294	0.735294	1.428571	2.142857	-0.714286	1.500000	1.562500	-0.062500	1.444444	1.666667	-0.222222	1.500000	1.000000	0.500000	1.333333	3.666667	-2.333333	1.235294	1.428571	93
Bundesliga  Bundesliga	2018	02	So	16:30	49	SK Rapid Wien	FK Austria Wien	0.000000	1.428571	1.285714	0.142857	1.457143	1.571429	-0.114286	1.666667	3.000000	-1.333333	1.250000	1.000000	0.250000	1.470588	1.470588	0.000000	1.444444	1.666667	-0.222222	1.142857	1.285714	94
Bundesliga  Bundesliga	2018	02	Sa	18:30	6	FK Austria Wien	LASK	-2.000000	1.444444	0.694444	0.750000	0.833333	1.333333	-0.500000	1.470588	1.470588	0.000000	1.421053	1.631579	-0.210526	1.333333	1.666667	-0.333333	0.333333	1.000000	-0.666667	1.277778	1.000000	95
Bundesliga  Bundesliga	2018	02	Sa	18:30	7	SV Mattersburg	FK Austria Wien	1.000000	1.000000	1.000000	0.000000	1.432432	1.594595	-0.162162	1.000000	1.750000	-0.750000	1.000000	1.333333	-0.333333	1.444444	1.555556	-0.111111	1.421053	1.631579	-0.210526	0.714286	1.243243	96
Bundesliga  Bundesliga	2018	02	Sa	16:00	7	FC Admira Wacker Mödling	FK Austria Wien	1.000000	1.500000	1.666667	-0.166667	1.421053	1.605263	-0.184211	1.333333	3.333333	-2.000000	1.666667	3.000000	-1.333333	1.444444	1.555556	-0.111111	1.400000	1.650000	-0.250000	0.666667	1.210526	97
Bundesliga  Bundesliga	2018	03	Sa	18:30	7	FK Austria Wien	Wolfsberger AC	2.000000	1.410256	0.717949	0.692308	0.666667	1.666667	-1.000000	1.444444	1.555556	-0.111111	1.380952	1.666667	-0.285714	0.333333	1.333333	-1.000000	1.000000	2.000000	-1.000000	1.179487	0.333333	98
Bundesliga  Bundesliga	2018	03	Sa	18:30	7	FK Austria Wien	SKN St. Pölten	4.000000	1.425000	0.700000	0.725000	0.666667	3.166667	-2.500000	1.473684	1.473684	0.000000	1.380952	1.666667	-0.285714	0.666667	1.666667	-1.000000	0.666667	4.666667	-4.000000	1.225000	0.500000	99
Bundesliga  Bundesliga	2018	03	Sa	18:30	13	FK Austria Wien	SC Rheindorf Altach	1.000000	1.487805	0.682927	0.804878	0.714286	1.285714	-0.571429	1.600000	1.400000	0.200000	1.380952	1.666667	-0.285714	1.000000	0.500000	0.500000	0.333333	2.333333	-2.000000	1.268293	0.857143	100
Bundesliga  Bundesliga	2018	04	Sa	16:00	7	SK Sturm Graz	FK Austria Wien	-2.000000	1.250000	0.500000	0.750000	1.500000	1.523810	-0.023810	1.500000	1.000000	0.500000	1.000000	3.000000	-2.000000	1.619048	1.380952	0.238095	1.380952	1.666667	-0.285714	1.250000	1.309524	101
Bundesliga  Bundesliga	2018	04	So	16:30	8	FK Austria Wien	SK Rapid Wien	-4.000000	1.511628	0.674419	0.837209	1.375000	1.750000	-0.375000	1.619048	1.380952	0.238095	1.409091	1.590909	-0.181818	1.500000	2.500000	-1.000000	1.250000	1.000000	0.250000	1.348837	1.125000	102
Bundesliga  Bundesliga	2018	04	Sa	18:30	6	LASK	FK Austria Wien	1.000000	1.142857	0.714286	0.428571	1.477273	1.545455	-0.068182	1.333333	1.666667	-0.333333	1.000000	1.000000	0.000000	1.545455	1.500000	0.045455	1.409091	1.590909	-0.181818	1.285714	1.318182	103
Bundesliga  Bundesliga	2018	04	Sa	16:00	7	FK Austria Wien	SV Mattersburg	-1.000000	1.444444	0.733333	0.711111	1.125000	1.500000	-0.375000	1.545455	1.500000	0.045455	1.347826	1.565217	-0.217391	1.200000	1.600000	-0.400000	1.000000	1.333333	-0.333333	1.288889	1.000000	104
Bundesliga  Bundesliga	2018	05	Sa	18:30	7	FK Austria Wien	FC Admira Wacker Mödling	0.000000	1.456522	0.782609	0.673913	1.571429	2.857143	-1.285714	1.565217	1.565217	0.000000	1.347826	1.565217	-0.217391	1.500000	2.750000	-1.250000	1.666667	3.000000	-1.333333	1.260870	1.000000	105
Bundesliga  Bundesliga	2018	05	Di	19:00	10	Wolfsberger AC	FK Austria Wien	1.000000	0.571429	0.571429	0.000000	1.425532	1.531915	-0.106383	0.333333	1.333333	-1.000000	0.750000	2.000000	-1.250000	1.500000	1.500000	0.000000	1.347826	1.565217	-0.217391	0.285714	1.255319	106
Bundesliga  Bundesliga	2018	05	So	16:30	5	SKN St. Pölten	FK Austria Wien	2.000000	0.571429	0.714286	-0.142857	1.416667	1.541667	-0.125000	0.666667	1.666667	-1.000000	0.500000	4.500000	-4.000000	1.500000	1.500000	0.000000	1.333333	1.583333	-0.250000	0.428571	1.229167	107
Europa League Qualifikation  Europa League Qualifikation	2017	07	Do	20:30	45	SK Sturm Graz	Mladost Podgorica	-1.000000	1.111111	0.666667	0.444444	0.000000	0.000000	0.000000	1.200000	1.200000	0.000000	1.000000	3.000000	-2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.111111	0.000000	108
ÖFB-Cup  ÖFB-Cup	2017	07	So	15:30	3	FC Hard	SK Sturm Graz	-3.000000	0.000000	0.000000	0.000000	1.000000	1.900000	-0.900000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.166667	-0.166667	1.000000	3.000000	-2.000000	0.000000	1.000000	109
Europa League Qualifikation  Europa League Qualifikation	2017	07	Do	20:30	4	Mladost Podgorica	SK Sturm Graz	-3.000000	1.000000	0.000000	1.000000	1.181818	1.727273	-0.545455	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.166667	-0.166667	1.400000	2.400000	-1.000000	3.000000	1.181818	110
Bundesliga  Bundesliga	2017	07	So	19:00	3	SK Sturm Graz	SKN St. Pölten	1.000000	1.333333	0.583333	0.750000	0.750000	2.875000	-2.125000	1.000000	1.166667	-0.166667	1.666667	2.000000	-0.333333	1.000000	1.250000	-0.250000	0.500000	4.500000	-4.000000	1.333333	0.750000	111
Europa League Qualifikation  Europa League Qualifikation	2017	07	Do	19:00	4	SK Sturm Graz	Fenerbahce Istanbul	-1.000000	1.461538	0.692308	0.769231	0.000000	0.000000	0.000000	1.285714	1.285714	0.000000	1.666667	2.000000	-0.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.461538	0.000000	112
Europa League Qualifikation  Europa League Qualifikation	2017	08	Do	19:30	4	Fenerbahce Istanbul	SK Sturm Graz	0.000000	2.000000	0.000000	2.000000	1.428571	1.642857	-0.214286	0.000000	0.000000	0.000000	2.000000	1.000000	1.000000	1.250000	1.375000	-0.125000	1.666667	2.000000	-0.333333	3.000000	1.357143	113
Bundesliga  Bundesliga	2017	08	So	19:00	3	SV Mattersburg	SK Sturm Graz	-1.000000	1.333333	0.888889	0.444444	1.400000	1.600000	-0.200000	1.200000	1.600000	-0.400000	1.500000	1.500000	0.000000	1.250000	1.375000	-0.125000	1.571429	1.857143	-0.285714	1.222222	1.333333	114
Bundesliga  Bundesliga	2017	08	Sa	18:30	6	SK Sturm Graz	Wolfsberger AC	1.000000	1.500000	0.687500	0.812500	0.750000	1.625000	-0.875000	1.250000	1.375000	-0.125000	1.750000	1.875000	-0.125000	0.750000	1.250000	-0.500000	0.750000	2.000000	-1.250000	1.437500	0.625000	115
Bundesliga  Bundesliga	2017	08	Sa	16:00	7	SK Rapid Wien	SK Sturm Graz	-1.000000	1.666667	1.111111	0.555556	1.529412	1.588235	-0.058824	1.500000	2.500000	-1.000000	1.800000	0.800000	1.000000	1.333333	1.333333	0.000000	1.750000	1.875000	-0.125000	1.333333	1.529412	116
Bundesliga  Bundesliga	2017	09	Sa	16:00	13	LASK	SK Sturm Graz	1.000000	1.125000	0.625000	0.500000	1.555556	1.555556	0.000000	1.250000	1.250000	0.000000	1.000000	1.000000	0.000000	1.333333	1.333333	0.000000	1.777778	1.777778	0.000000	1.500000	1.611111	117
Bundesliga  Bundesliga	2017	09	Sa	18:30	7	FC Admira Wacker Mödling	SK Sturm Graz	1.000000	1.375000	1.375000	0.000000	1.526316	1.578947	-0.052632	1.500000	2.750000	-1.250000	1.250000	2.250000	-1.000000	1.333333	1.333333	0.000000	1.700000	1.800000	-0.100000	1.000000	1.526316	118
ÖFB-Cup  ÖFB-Cup	2017	09	Mi	18:00	4	USK Anif	SK Sturm Graz	-1.000000	0.000000	0.000000	0.000000	1.500000	1.600000	-0.100000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.333333	1.333333	0.000000	1.636364	1.818182	-0.181818	0.000000	1.450000	119
Bundesliga  Bundesliga	2017	09	Sa	18:30	3	SK Sturm Graz	SC Rheindorf Altach	0.000000	1.523810	0.571429	0.952381	0.750000	1.375000	-0.625000	1.333333	1.333333	0.000000	1.666667	1.750000	-0.083333	1.000000	0.500000	0.500000	0.500000	2.250000	-1.750000	1.523810	0.750000	120
Bundesliga  Bundesliga	2017	09	Sa	16:00	7	SKN St. Pölten	SK Sturm Graz	-3.000000	0.888889	0.555556	0.333333	1.454545	1.500000	-0.045455	1.000000	1.250000	-0.250000	0.800000	4.200000	-3.400000	1.200000	1.200000	0.000000	1.666667	1.750000	-0.083333	0.666667	1.500000	121
Bundesliga  Bundesliga	2017	10	Sa	16:00	6	SK Sturm Graz	SV Mattersburg	1.000000	1.521739	0.521739	1.000000	1.400000	1.700000	-0.300000	1.200000	1.200000	0.000000	1.769231	1.615385	0.153846	1.333333	1.833333	-0.500000	1.500000	1.500000	0.000000	1.565217	1.100000	122
ÖFB-Cup  ÖFB-Cup	2017	10	Mi	18:00	4	SK Sturm Graz	SC Rheindorf Altach	3.000000	1.583333	0.583333	1.000000	0.666667	1.222222	-0.555556	1.363636	1.272727	0.090909	1.769231	1.615385	0.153846	1.000000	0.500000	0.500000	0.400000	1.800000	-1.400000	1.625000	0.777778	123
Bundesliga  Bundesliga	2017	10	So	16:30	4	Wolfsberger AC	SK Sturm Graz	-2.000000	0.777778	0.555556	0.222222	1.680000	1.440000	0.240000	0.750000	1.250000	-0.500000	0.800000	2.000000	-1.200000	1.583333	1.250000	0.333333	1.769231	1.615385	0.153846	0.555556	1.680000	124
Bundesliga  Bundesliga	2017	11	Sa	16:00	6	SK Sturm Graz	SK Rapid Wien	0.000000	1.692308	0.576923	1.115385	1.600000	1.600000	0.000000	1.583333	1.250000	0.333333	1.785714	1.500000	0.285714	1.400000	2.400000	-1.000000	1.800000	0.800000	1.000000	1.730769	1.200000	125
Bundesliga  Bundesliga	2017	11	Sa	16:00	6	SK Sturm Graz	LASK	1.000000	1.629630	0.555556	1.074074	1.222222	1.111111	0.111111	1.461538	1.153846	0.307692	1.785714	1.500000	0.285714	1.400000	1.200000	0.200000	1.000000	1.000000	0.000000	1.703704	1.666667	126
Bundesliga  Bundesliga	2017	11	Di	19:00	3	SK Sturm Graz	FC Admira Wacker Mödling	5.000000	1.607143	0.535714	1.071429	1.444444	2.333333	-0.888889	1.428571	1.071429	0.357143	1.785714	1.500000	0.285714	1.600000	2.400000	-0.800000	1.250000	2.250000	-1.000000	1.750000	1.222222	127
Bundesliga  Bundesliga	2017	12	Sa	18:30	4	SC Rheindorf Altach	SK Sturm Graz	-1.000000	0.700000	0.200000	0.500000	1.758621	1.275862	0.482759	1.000000	0.500000	0.500000	0.500000	2.166667	-1.666667	1.733333	1.066667	0.666667	1.785714	1.500000	0.285714	0.700000	1.793103	128
Bundesliga  Bundesliga	2017	12	Sa	18:30	7	SK Sturm Graz	SKN St. Pölten	1.000000	1.766667	0.533333	1.233333	0.800000	2.900000	-2.100000	1.733333	1.066667	0.666667	1.800000	1.466667	0.333333	0.800000	1.600000	-0.800000	0.800000	4.200000	-3.400000	1.833333	0.600000	129
Bundesliga  Bundesliga	2018	02	Sa	16:00	48	SV Mattersburg	SK Sturm Graz	1.000000	1.454545	1.000000	0.454545	1.806452	1.290323	0.516129	1.333333	1.833333	-0.500000	1.600000	1.800000	-0.200000	1.812500	1.125000	0.687500	1.800000	1.466667	0.333333	1.000000	1.870968	130
Bundesliga  Bundesliga	2018	02	Sa	18:30	7	SK Sturm Graz	Wolfsberger AC	-1.000000	1.750000	0.562500	1.187500	0.700000	1.700000	-1.000000	1.812500	1.125000	0.687500	1.687500	1.437500	0.250000	0.600000	1.400000	-0.800000	0.800000	2.000000	-1.200000	1.812500	0.500000	131
Bundesliga  Bundesliga	2018	02	Sa	16:00	7	SK Rapid Wien	SK Sturm Graz	0.000000	1.454545	1.090909	0.363636	1.696970	1.272727	0.424242	1.400000	2.400000	-1.000000	1.500000	0.666667	0.833333	1.705882	1.117647	0.588235	1.687500	1.437500	0.250000	1.181818	1.757576	132
ÖFB-Cup  ÖFB-Cup	2018	02	Mi	18:00	3	SK Sturm Graz	SV Wimpassing	3.000000	1.676471	0.558824	1.117647	0.000000	0.000000	0.000000	1.705882	1.117647	0.588235	1.647059	1.411765	0.235294	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.735294	0.000000	133
Bundesliga  Bundesliga	2018	03	Sa	16:00	3	LASK	SK Sturm Graz	-2.000000	1.100000	0.600000	0.500000	1.714286	1.228571	0.485714	1.400000	1.200000	0.200000	0.800000	1.000000	-0.200000	1.777778	1.055556	0.722222	1.647059	1.411765	0.235294	1.500000	1.771429	134
Bundesliga  Bundesliga	2018	03	Sa	18:30	7	FC Admira Wacker Mödling	SK Sturm Graz	-2.000000	1.400000	1.200000	0.200000	1.722222	1.194444	0.527778	1.600000	2.400000	-0.800000	1.200000	3.000000	-1.800000	1.777778	1.055556	0.722222	1.666667	1.333333	0.333333	1.100000	1.805556	135
Bundesliga  Bundesliga	2018	03	Sa	18:30	7	SK Sturm Graz	SC Rheindorf Altach	1.000000	1.783784	0.513514	1.270270	0.727273	1.545455	-0.818182	1.777778	1.055556	0.722222	1.789474	1.368421	0.421053	1.000000	0.800000	0.200000	0.500000	2.166667	-1.666667	1.837838	0.636364	136
Bundesliga  Bundesliga	2018	03	Sa	18:30	14	SKN St. Pölten	SK Sturm Graz	-4.000000	0.909091	0.727273	0.181818	1.763158	1.184211	0.578947	0.800000	1.600000	-0.800000	1.000000	4.000000	-3.000000	1.736842	1.000000	0.736842	1.789474	1.368421	0.421053	0.545455	1.868421	137
Bundesliga  Bundesliga	2018	04	Sa	16:00	7	SK Sturm Graz	SV Mattersburg	3.000000	1.846154	0.487179	1.358974	1.416667	1.666667	-0.250000	1.736842	1.000000	0.736842	1.950000	1.350000	0.600000	1.285714	1.571429	-0.285714	1.600000	1.800000	-0.200000	1.897436	1.166667	138
ÖFB-Cup  ÖFB-Cup	2018	04	Mi	20:30	4	SK Sturm Graz	SK Rapid Wien	0.000000	1.875000	0.475000	1.400000	1.416667	1.416667	0.000000	1.800000	0.950000	0.850000	1.950000	1.350000	0.600000	1.333333	2.166667	-0.833333	1.500000	0.666667	0.833333	1.925000	1.166667	139
Bundesliga  Bundesliga	2018	04	Sa	16:00	3	Wolfsberger AC	SK Sturm Graz	1.000000	0.727273	0.636364	0.090909	1.878049	1.170732	0.707317	0.600000	1.400000	-0.800000	0.833333	1.666667	-0.833333	1.809524	1.000000	0.809524	1.950000	1.350000	0.600000	0.727273	1.902439	140
Bundesliga  Bundesliga	2018	04	So	16:30	8	SK Sturm Graz	SK Rapid Wien	2.000000	1.857143	0.500000	1.357143	1.461538	1.461538	0.000000	1.809524	1.000000	0.809524	1.904762	1.380952	0.523810	1.333333	2.166667	-0.833333	1.571429	0.857143	0.714286	1.857143	1.153846	141
Bundesliga  Bundesliga	2018	05	Sa	16:00	3	SK Sturm Graz	LASK	2.000000	1.906977	0.534884	1.372093	1.000000	1.181818	-0.181818	1.909091	1.045455	0.863636	1.904762	1.380952	0.523810	1.166667	1.333333	-0.166667	0.800000	1.000000	-0.200000	1.883721	1.363636	142
Bundesliga  Bundesliga	2018	05	So	16:30	8	SK Sturm Graz	FC Admira Wacker Mödling	2.000000	1.931818	0.545455	1.386364	1.454545	2.818182	-1.363636	1.956522	1.043478	0.913043	1.904762	1.380952	0.523810	1.666667	2.666667	-1.000000	1.200000	3.000000	-1.800000	1.909091	1.000000	143
Bundesliga  Bundesliga	2018	05	So	17:30	7	SC Rheindorf Altach	SK Sturm Graz	0.000000	0.666667	0.333333	0.333333	1.933333	1.177778	0.755556	1.000000	0.800000	0.200000	0.428571	2.000000	-1.571429	1.958333	1.000000	0.958333	1.904762	1.380952	0.523810	0.583333	1.933333	144
ÖFB-Cup  ÖFB-Cup	2017	07	Sa	17:00	45	FC Kitzbühel	LASK	-1.000000	0.000000	0.000000	0.000000	1.000000	1.333333	-0.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.166667	1.333333	-0.166667	0.833333	1.333333	-0.500000	0.000000	1.250000	145
Bundesliga  Bundesliga	2017	07	Sa	18:30	7	LASK	FC Admira Wacker Mödling	3.000000	1.000000	0.615385	0.384615	1.333333	2.750000	-1.416667	1.166667	1.333333	-0.166667	0.857143	1.142857	-0.285714	1.666667	2.666667	-1.000000	1.000000	2.833333	-1.833333	1.384615	0.916667	146
Bundesliga  Bundesliga	2017	08	Sa	16:00	7	LASK	SKN St. Pölten	2.000000	1.142857	0.571429	0.571429	0.916667	3.083333	-2.166667	1.428571	1.142857	0.285714	0.857143	1.142857	-0.285714	0.833333	2.166667	-1.333333	1.000000	4.000000	-3.000000	1.500000	0.500000	147
Bundesliga  Bundesliga	2017	08	So	16:30	8	LASK	SC Rheindorf Altach	0.000000	1.200000	0.533333	0.666667	0.615385	1.384615	-0.769231	1.500000	1.000000	0.500000	0.857143	1.142857	-0.285714	0.833333	0.666667	0.166667	0.428571	2.000000	-1.571429	1.600000	0.615385	148
Bundesliga  Bundesliga	2017	08	Sa	18:30	6	SK Rapid Wien	LASK	1.000000	1.500000	0.928571	0.571429	1.125000	1.000000	0.125000	1.333333	2.166667	-0.833333	1.625000	1.250000	0.375000	1.333333	0.888889	0.444444	0.857143	1.142857	-0.285714	1.071429	1.562500	149
Bundesliga  Bundesliga	2017	09	Sa	18:30	7	Wolfsberger AC	LASK	0.000000	0.833333	0.666667	0.166667	1.058824	1.000000	0.058824	0.833333	1.333333	-0.500000	0.833333	1.666667	-0.833333	1.333333	0.888889	0.444444	0.750000	1.125000	-0.375000	0.916667	1.470588	150
ÖFB-Cup  ÖFB-Cup	2017	09	Di	19:00	3	SV Grödig	LASK	0.000000	0.000000	0.000000	0.000000	1.000000	0.944444	0.055556	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.333333	0.888889	0.444444	0.666667	1.000000	-0.333333	0.000000	1.444444	151
Bundesliga  Bundesliga	2017	09	Sa	18:30	4	LASK	SV Mattersburg	0.000000	1.105263	0.421053	0.684211	1.307692	1.769231	-0.461538	1.333333	0.888889	0.444444	0.900000	1.200000	-0.300000	1.285714	1.571429	-0.285714	1.333333	2.000000	-0.666667	1.421053	1.076923	152
Bundesliga  Bundesliga	2017	09	Sa	18:30	7	FC Admira Wacker Mödling	LASK	2.000000	1.230769	1.230769	0.000000	1.150000	1.100000	0.050000	1.666667	2.666667	-1.000000	0.857143	2.857143	-2.000000	1.400000	1.000000	0.400000	0.900000	1.200000	-0.300000	0.846154	1.400000	153
Bundesliga  Bundesliga	2017	10	Sa	18:30	7	SKN St. Pölten	LASK	-1.000000	0.846154	1.000000	-0.153846	1.190476	1.238095	-0.047619	0.833333	2.166667	-1.333333	0.857143	3.714286	-2.857143	1.400000	1.000000	0.400000	1.000000	1.454545	-0.454545	0.461538	1.333333	154
ÖFB-Cup  ÖFB-Cup	2017	10	Di	19:10	3	SV Ried	LASK	3.000000	0.000000	0.000000	0.000000	1.181818	1.181818	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.400000	1.000000	0.400000	1.000000	1.333333	-0.333333	0.000000	1.409091	155
Bundesliga  Bundesliga	2017	11	Sa	18:30	7	SC Rheindorf Altach	LASK	-2.000000	0.571429	0.285714	0.285714	1.173913	1.304348	-0.130435	0.833333	0.666667	0.166667	0.375000	1.750000	-1.375000	1.400000	1.000000	0.400000	1.000000	1.538462	-0.538462	0.642857	1.347826	156
Bundesliga  Bundesliga	2017	11	Sa	16:00	14	LASK	SK Rapid Wien	-1.000000	1.291667	0.416667	0.875000	1.466667	1.533333	-0.066667	1.400000	1.000000	0.400000	1.214286	1.571429	-0.357143	1.285714	1.857143	-0.571429	1.625000	1.250000	0.375000	1.416667	1.200000	157
Bundesliga  Bundesliga	2017	11	Mi	18:30	4	LASK	Wolfsberger AC	2.000000	1.280000	0.480000	0.800000	0.769231	1.384615	-0.615385	1.363636	1.090909	0.272727	1.214286	1.571429	-0.357143	0.714286	1.142857	-0.428571	0.833333	1.666667	-0.833333	1.360000	0.923077	158
Bundesliga  Bundesliga	2017	12	Sa	18:30	3	SV Mattersburg	LASK	1.000000	1.357143	0.785714	0.571429	1.307692	1.307692	0.000000	1.285714	1.571429	-0.285714	1.428571	2.000000	-0.571429	1.416667	1.000000	0.416667	1.214286	1.571429	-0.357143	1.071429	1.423077	159
Bundesliga  Bundesliga	2017	12	Sa	18:30	7	LASK	FC Admira Wacker Mödling	1.000000	1.259259	0.444444	0.814815	1.428571	2.714286	-1.285714	1.416667	1.000000	0.416667	1.133333	1.533333	-0.400000	2.000000	2.571429	-0.571429	0.857143	2.857143	-2.000000	1.370370	1.000000	160
Bundesliga  Bundesliga	2018	02	Sa	18:30	49	LASK	SKN St. Pölten	1.000000	1.285714	0.464286	0.821429	0.785714	2.857143	-2.071429	1.461538	1.000000	0.461538	1.133333	1.533333	-0.400000	0.714286	2.000000	-1.285714	0.857143	3.714286	-2.857143	1.428571	0.428571	161
Bundesliga  Bundesliga	2018	02	Sa	18:30	7	LASK	SC Rheindorf Altach	2.000000	1.310345	0.482759	0.827586	0.666667	1.466667	-0.800000	1.500000	1.000000	0.500000	1.133333	1.533333	-0.400000	1.000000	1.142857	-0.142857	0.375000	1.750000	-1.375000	1.482759	0.600000	162
Bundesliga  Bundesliga	2018	02	Sa	18:30	7	SK Rapid Wien	LASK	2.000000	1.500000	0.812500	0.687500	1.333333	1.233333	0.100000	1.285714	1.857143	-0.571429	1.666667	1.222222	0.444444	1.533333	0.933333	0.600000	1.133333	1.533333	-0.400000	1.312500	1.533333	163
Bundesliga  Bundesliga	2018	03	Sa	18:30	7	Wolfsberger AC	LASK	-3.000000	0.714286	0.571429	0.142857	1.290323	1.258065	0.032258	0.714286	1.142857	-0.428571	0.714286	1.714286	-1.000000	1.533333	0.933333	0.600000	1.062500	1.562500	-0.500000	0.857143	1.483871	164
Bundesliga  Bundesliga	2018	03	Sa	18:30	7	LASK	SV Mattersburg	2.000000	1.343750	0.437500	0.906250	1.333333	1.666667	-0.333333	1.533333	0.933333	0.600000	1.176471	1.470588	-0.294118	1.250000	1.375000	-0.125000	1.428571	2.000000	-0.571429	1.531250	1.200000	165
Bundesliga  Bundesliga	2018	03	Sa	16:00	14	FC Admira Wacker Mödling	LASK	-1.000000	1.400000	1.200000	0.200000	1.393939	1.212121	0.181818	2.000000	2.571429	-0.571429	0.875000	2.750000	-1.875000	1.625000	0.937500	0.687500	1.176471	1.470588	-0.294118	0.933333	1.575758	166
Bundesliga  Bundesliga	2018	04	Sa	18:30	6	SKN St. Pölten	LASK	-2.000000	0.800000	0.933333	-0.133333	1.382353	1.176471	0.205882	0.714286	2.000000	-1.285714	0.875000	3.500000	-2.625000	1.625000	0.937500	0.687500	1.166667	1.388889	-0.222222	0.400000	1.617647	167
Bundesliga  Bundesliga	2018	04	Sa	18:30	7	SC Rheindorf Altach	LASK	-2.000000	0.625000	0.500000	0.125000	1.428571	1.171429	0.257143	1.000000	1.142857	-0.142857	0.333333	1.777778	-1.444444	1.625000	0.937500	0.687500	1.263158	1.368421	-0.105263	0.562500	1.657143	168
