contest	year	month	day	time	break	hoamTeam	guestTeam	resultNumeric	homeTotalGoalsShoot	homeTotalGoalsReceived	homeTotalGoalDiff	guestTotalGoalsShoot	guestTotalGoalsReceived	guestTotalGoalDiff	homeTeamGoalsShootAtHome	homeTeamGoalsReceivedAtHome	homeTeamGoalsDiffAtHome	homeTeamGoalsShootAway	homeTeamGoalsReceivedAway	homeTeamGoalsDiffAway	guestTeamGoalsShootAtHome	guestTeamGoalsReceivedAtHome	guestTeamGoalsDiffAtHome	guestTeamGoalsShootAway	guestTeamGoalsReceivedAway	guestTeamGoalsDiffAway	hoamAvgPoints	guestAvgpoints	fortlfd
Bundesliga  Bundesliga	2017	09	So	16:30	3	SV Mattersburg	Red Bull Salzburg	-1.000000	0.000000	0.000000	0.000000	2.533333	0.600000	1.933333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.000000	0.857143	2.142857	2.125000	0.375000	1.750000	0.000000	2.133333	16
ÖFB-Cup  ÖFB-Cup	2017	09	Do	19:00	4	ASK-BSC Bruck/Leitha	Red Bull Salzburg	0.000000	0.000000	0.000000	0.000000	2.500000	0.625000	1.875000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	3.000000	0.857143	2.142857	2.111111	0.444444	1.666667	0.000000	2.187500	17
Bundesliga  Bundesliga	2017	09	So	16:30	3	Red Bull Salzburg	FK Austria Wien	0.000000	2.411765	0.352941	2.058824	0.000000	0.000000	0.000000	3.000000	0.857143	2.142857	2.000000	0.500000	1.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.117647	0.000000	18
Europa League  Europa League	2017	09	Do	19:00	4	Red Bull Salzburg	Olympique Marseille	1.000000	2.277778	0.333333	1.944444	0.000000	0.000000	0.000000	2.625000	0.750000	1.875000	2.000000	0.500000	1.500000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.055556	0.000000	19
Bundesliga  Bundesliga	2017	10	So	19:00	3	Red Bull Salzburg	Wolfsberger AC	1.000000	2.210526	0.315789	1.894737	0.000000	2.000000	-2.000000	2.444444	0.666667	1.777778	2.000000	0.500000	1.500000	0.000000	2.000000	-2.000000	0.000000	0.000000	0.000000	2.105263	0.000000	20
Bundesliga  Bundesliga	2017	10	Sa	16:00	13	LASK	Red Bull Salzburg	-2.000000	1.000000	0.000000	1.000000	2.200000	0.600000	1.600000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	2.400000	0.700000	1.700000	2.000000	0.500000	1.500000	1.000000	2.150000	21
Europa League  Europa League	2017	10	Do	19:00	5	Konyaspor	Red Bull Salzburg	-2.000000	0.000000	0.000000	0.000000	2.238095	0.619048	1.619048	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.400000	0.700000	1.700000	2.090909	0.545455	1.545455	0.000000	2.190476	22
Bundesliga  Bundesliga	2017	10	So	14:00	3	FC Admira Wacker Mödling	Red Bull Salzburg	0.000000	1.000000	0.000000	1.000000	2.227273	0.590909	1.636364	0.000000	0.000000	0.000000	1.000000	5.000000	-4.000000	2.400000	0.700000	1.700000	2.083333	0.500000	1.583333	0.000000	2.227273	23
ÖFB-Cup  ÖFB-Cup	2017	10	Mi	19:00	3	TuS Bad Gleichenberg	Red Bull Salzburg	-3.000000	0.000000	0.000000	0.000000	2.173913	0.608696	1.565217	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.400000	0.700000	1.700000	2.000000	0.538462	1.461538	0.000000	2.173913	24
Bundesliga  Bundesliga	2017	10	Sa	18:30	3	Red Bull Salzburg	SC Rheindorf Altach	2.000000	2.208333	0.291667	1.916667	0.000000	1.000000	-1.000000	2.400000	0.700000	1.700000	2.071429	0.500000	1.571429	0.000000	1.000000	-1.000000	0.000000	0.000000	0.000000	2.208333	0.000000	25
