gameday	hoamTeam	guestTeam	hoamResultFactor	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	homeTeamPointsTotal	guestTeamPointsTotal	hoamTeamAvgPoints	guestTeamAvgPoints
22	Graz	WAC	N	1,476190476	-0,619047619	1,4	0	-0,090909091	-1,2	44	17	2,095238095	0,80952381
22	SKN	Mattersburg	N	-0,238095238	-0,285714286	-1,4	-1,727272727	-0,181818182	-0,4	7	24	0,333333333	1,142857143
22	Admira	Rapid	S	1,238095238	0,523809524	1,1	-1	0,181818182	0,9	31	35	1,476190476	1,666666667
23	Rapid	Graz	U	0,954545455	0,590909091	0,181818182	0,727272727	1,181818182	0	35	44	1,590909091	2
23	LASK	Altach	S	0,818181818	-0,227272727	0,636363636	-0,181818182	0,363636364	-0,818181818	33	26	1,5	1,181818182
23	Mattersburg	Austria	S	0,636363636	-0,045454545	-0,181818182	-0,090909091	0,181818182	-0,272727273	27	27	1,227272727	1,227272727
23	WAC	Admira	N	0,409090909	0,045454545	-0,090909091	-1	1,090909091	-1	20	34	0,909090909	1,545454545
23	Salzburg	SKN	S	1,636363636	-1,636363636	1,727272727	0,818181818	-1,545454545	-1,727272727	49	7	2,227272727	0,318181818
24	Admira	Austria	S	1,304347826	-0,086956522	1,090909091	-0,75	0,181818182	-0,333333333	37	27	1,608695652	1,173913043
24	WAC	SKN	N	0,304347826	-1,739130435	-0,25	-1	-1,545454545	-1,916666667	20	7	0,869565217	0,304347826
24	Rapid	LASK	S	0,913043478	0,304347826	0,166666667	0,727272727	0,75	-0,181818182	36	36	1,565217391	1,565217391
24	Altach	Mattersburg	U	0,434782609	-0,086956522	0,363636364	-0,916666667	-0,083333333	-0,090909091	26	30	1,130434783	1,304347826
24	Graz	Salzburg	N	1,347826087	1,391304348	1,181818182	0	1,916666667	0,818181818	45	52	1,956521739	2,260869565
25	LASK	Graz	N	0,833333333	0,458333333	0,75	-0,333333333	0,916666667	0	36	45	1,5	1,875
25	SKN	Altach	N	-0,291666667	-0,291666667	-1,545454545	-1,692307692	0,333333333	-0,916666667	10	27	0,416666667	1,125
25	Austria	WAC	S	0,708333333	-0,625	0,181818182	-0,384615385	-0,307692308	-1	27	20	1,125	0,833333333
25	Mattersburg	Admira	S	0,666666667	0,166666667	-0,083333333	-0,083333333	1,083333333	-0,75	31	40	1,291666667	1,666666667
25	Salzburg	Rapid	S	1,833333333	0,5	1,916666667	0,916666667	0,307692308	0,727272727	55	39	2,291666667	1,625
26	Altach	Rapid	U	0,48	0,44	0,333333333	-0,769230769	0,307692308	0,583333333	30	39	1,2	1,56
26	Austria	SKN	S	0,76	-1,6	0,333333333	-0,384615385	-1,5	-1,692307692	30	10	1,2	0,4
26	WAC	LASK	N	0,24	0,12	-0,307692308	-1,083333333	0,538461538	-0,333333333	20	36	0,8	1,44
26	Admira	Graz	N	1,32	0,52	1,083333333	-0,769230769	0,916666667	0,153846154	40	48	1,6	1,92
26	Mattersburg	Salzburg	U	0,68	1,4	0	-0,083333333	1,846153846	0,916666667	34	58	1,36	2,32
27	Rapid	WAC	S	0,884615385	-0,769230769	0,307692308	0,538461538	-0,5	-1,083333333	40	20	1,538461538	0,769230769
27	Graz	Altach	S	1,346153846	-0,230769231	0,916666667	0,285714286	0,307692308	-0,769230769	51	31	1,961538462	1,192307692
27	LASK	Mattersburg	S	0,807692308	-0,038461538	0,538461538	-0,076923077	0	-0,083333333	39	35	1,5	1,346153846
27	SKN	Admira	N	-0,307692308	0,038461538	-1,5	-1,857142857	0,846153846	-0,769230769	10	40	0,384615385	1,538461538
27	Salzburg	Austria	S	1,807692308	0,115384615	1,846153846	0,846153846	0,615384615	-0,384615385	59	33	2,269230769	1,269230769
28	Admira	LASK	N	1,222222222	0,296296296	0,846153846	-0,642857143	0,642857143	-0,076923077	43	42	1,592592593	1,555555556
28	Austria	Altach	S	0,851851852	-0,259259259	0,615384615	-0,714285714	0,307692308	-0,785714286	33	31	1,222222222	1,148148148
28	SKN	Graz	N	-0,333333333	0,592592593	-1,461538462	-1,857142857	0,923076923	0,285714286	10	54	0,37037037	2
28	Salzburg	WAC	S	1,925925926	-0,888888889	2,071428571	0,846153846	-0,5	-1,307692308	62	20	2,296296296	0,740740741
28	Mattersburg	Rapid	N	0,666666667	0,555555556	0	-0,230769231	0,571428571	0,538461538	35	43	1,296296296	1,592592593
29	Graz	Austria	N	1,464285714	-0,035714286	0,923076923	0,533333333	0,642857143	-0,714285714	57	36	2,035714286	1,285714286
29	Altach	Admira	N	0,464285714	0,035714286	0,307692308	-0,8	0,714285714	-0,642857143	31	43	1,107142857	1,535714286
29	Rapid	SKN	S	1,107142857	-1,75	0,571428571	0,642857143	-1,642857143	-1,857142857	46	10	1,642857143	0,357142857
29	WAC	Mattersburg	N	0,142857143	-0,178571429	-0,5	-1,357142857	-0,133333333	-0,230769231	20	35	0,714285714	1,25
