gameday;hoamTeam;guestTeam;hoamResultFactor;resultNumeric;homeTotalGoalsShoot;homeTotalGoalsReceived;homeTotalGoalDiff;guestTotalGoalsShoot;guestTotalGoalsReceived;guestTotalGoalDiff;homeTeamGoalsShootAtHome;homeTeamGoalsReceivedAtHome;homeTeamGoalsDiffAtHome;homeTeamGoalsShootAway;homeTeamGoalsReceivedAway;homeTeamGoalsDiffAway;guestTeamGoalsShootAtHome;guestTeamGoalsReceivedAtHome;guestTeamGoalsDiffAtHome;guestTeamGoalsShootAway;guestTeamGoalsReceivedAway;guestTeamGoalsDiffAway;homeTeamPointsTotal;guestTeamPointsTotal
13;LASK;Austria;U;0;14;6;8;21;17;4;10;6;4;4;8;-4;13;7;6;8;10;-2;16;18
13;WAC;Graz;N;-2;15;5;10;25;14;11;7;5;2;8;14;-6;12;5;7;13;9;4;12;28
14;Graz;Rapid;U;0;27;5;22;23;16;7;12;5;7;15;9;6;12;8;4;11;8;3;31;25
14;Altach;LASK;N;-2;14;7;7;16;16;0;11;7;4;3;10;-7;12;8;4;4;8;-4;16;17
14;Admira;WAC;U;0;24;9;15;15;21;-6;15;9;6;9;14;-5;7;7;0;8;14;-6;18;12
14;Austria;Mattersburg;N;-2;23;7;16;14;25;-11;13;7;6;10;12;-2;6;15;-9;8;10;-2;19;8
14;SKN;Salzburg;N;-2;9;11;-2;26;10;16;3;11;-8;6;19;-13;17;6;11;9;4;5;3;28
15;LASK;Rapid;N;-1;20;8;12;23;16;7;12;8;4;8;10;-2;12;8;4;11;8;3;20;26
15;Mattersburg;Altach;S;1;17;15;2;16;21;-5;6;15;-9;11;11;0;13;11;2;3;10;-7;11;16
15;SKN;WAC;U;0;10;14;-4;15;21;-6;4;14;-10;6;19;-13;7;7;0;8;14;-6;3;13
15;Austria;Admira;N;-1;24;10;14;24;23;1;14;10;4;10;12;-2;15;9;6;9;14;-5;19;19
15;Salzburg;Graz;S;5;29;6;23;27;14;13;17;6;11;12;5;7;12;5;7;15;9;6;31;32
16;Graz;LASK;S;1;27;5;22;21;20;1;12;5;7;15;14;1;13;10;3;8;10;-2;32;20
16;Altach;SKN;S;3;16;11;5;10;33;-23;13;11;2;3;11;-8;4;14;-10;6;19;-13;16;4
16;Admira;Mattersburg;S;2;27;9;18;18;26;-8;15;9;6;12;16;-4;7;15;-8;11;11;0;22;14
16;WAC;Austria;N;-1;15;7;8;26;25;1;7;7;0;8;14;-6;16;13;3;10;12;-2;14;19
16;Rapid;Salzburg;N;-1;25;8;17;34;11;23;12;8;4;13;9;4;22;6;16;12;5;7;29;34
17;Graz;Admira;S;5;28;5;23;29;25;4;13;5;8;15;14;1;17;9;8;12;16;-4;35;25
17;Salzburg;Mattersburg;S;2;37;6;31;18;28;-10;22;6;16;15;7;8;7;15;-8;11;13;-2;37;14
17;SKN;Austria;S;1;10;14;-4;28;26;2;4;14;-10;6;22;-16;16;13;3;12;13;-1;4;22
17;LASK;WAC;S;2;21;10;11;16;23;-7;13;10;3;8;11;-3;8;9;-1;8;14;-6;20;14
17;Rapid;Altach;N;-1;27;11;16;19;22;-3;14;11;3;13;9;4;16;11;5;3;11;-8;29;19
18;WAC;Rapid;U;0;16;9;7;28;22;6;8;9;-1;8;16;-8;15;13;2;13;9;4;14;29
18;Mattersburg;LASK;S;1;18;15;3;23;21;2;7;15;-8;11;15;-4;15;10;5;8;11;-3;14;23
18;Altach;Graz;N;-1;21;11;10;34;20;14;16;11;5;5;12;-7;19;6;13;15;14;1;22;38
18;Admira;SKN;S;1;30;9;21;11;36;-25;17;9;8;13;22;-9;5;14;-9;6;22;-16;25;7
18;Austria;Salzburg;U;0;28;13;15;39;13;26;16;13;3;12;14;-2;24;6;18;15;7;8;22;40
19;Rapid;Mattersburg;U;0;28;13;15;19;30;-11;15;13;2;13;9;4;8;15;-7;11;15;-4;30;17
19;Graz;SKN;S;1;36;6;30;11;37;-26;19;6;13;17;15;2;5;14;-9;6;23;-17;41;7
19;LASK;Admira;S;1;23;10;13;31;31;0;15;10;5;8;12;-4;18;9;9;13;22;-9;23;28
19;Altach;Austria;S;1;22;13;9;29;28;1;17;13;4;5;12;-7;17;14;3;12;14;-2;22;23
19;WAC;Salzburg;U;0;16;9;7;40;14;26;8;9;-1;8;16;-8;24;6;18;16;8;8;15;41
20;Salzburg;LASK;U;0;40;6;34;25;23;2;24;6;18;16;8;8;17;11;6;8;12;-4;42;26
20;SKN;Rapid;N;-5;13;14;-1;30;24;6;5;14;-9;8;26;-18;17;15;2;13;9;4;7;31
20;Admira;Altach;S;2;32;9;23;23;25;-2;18;9;9;14;24;-10;18;13;5;5;12;-7;28;25
20;Mattersburg;WAC;S;4;21;15;6;16;25;-9;8;15;-7;13;17;-4;8;9;-1;8;16;-8;18;16
20;Austria;Graz;S;1;29;14;15;39;23;16;17;14;3;12;15;-3;22;8;14;17;15;2;23;44
21;Mattersburg;Graz;S;1;26;16;10;39;24;15;13;16;-3;13;17;-4;22;8;14;17;16;1;21;44
21;LASK;SKN;S;1;25;11;14;13;45;-32;17;11;6;8;12;-4;5;19;-14;8;26;-18;27;7
21;WAC;Altach;U;0;17;9;8;24;28;-4;8;9;-1;9;21;-12;18;13;5;6;15;-9;16;25
21;Salzburg;Admira;S;1;40;6;34;35;34;1;24;6;18;16;8;8;21;10;11;14;24;-10;43;31
21;Rapid;Austria;U;0;35;15;20;30;29;1;17;15;2;18;9;9;18;14;4;12;15;-3;34;26
22;Altach;Salzburg;N;-1;24;13;11;42;15;27;18;13;5;6;15;-9;26;7;19;16;8;8;26;46
22;Austria;LASK;N;-2;31;14;17;27;24;3;18;14;4;13;16;-3;19;12;7;8;12;-4;27;30
22;Graz;WAC;N;-1;39;8;31;17;30;-13;22;8;14;17;17;0;8;9;-1;9;21;-12;44;17
22;SKN;Mattersburg;N;-3;14;19;-5;27;33;-6;5;19;-14;9;28;-19;14;16;-2;13;17;-4;7;24
22;Admira;Rapid;S;1;36;10;26;36;25;11;21;10;11;15;26;-11;18;16;2;18;9;9;31;35
23;Rapid;Graz;U;0;37;16;21;39;26;13;18;16;2;19;11;8;22;9;13;17;17;0;35;44
23;LASK;Altach;S;2;30;12;18;24;29;-5;19;12;7;11;13;-2;18;14;4;6;15;-9;33;26
23;Mattersburg;Austria;S;1;30;16;14;32;33;-1;14;16;-2;16;17;-1;19;17;2;13;16;-3;27;27
23;WAC;Admira;N;-2;18;9;9;38;37;1;8;9;-1;10;21;-11;23;11;12;15;26;-11;20;34
23;Salzburg;SKN;S;4;43;7;36;14;50;-36;26;7;19;17;8;9;5;22;-17;9;28;-19;49;7
24;Admira;Austria;S;1;41;11;30;33;35;-2;23;11;12;18;27;-9;19;17;2;14;18;-4;37;27
24;WAC;SKN;N;-1;19;12;7;14;54;-40;9;12;-3;10;21;-11;5;22;-17;9;32;-23;20;7
24;Rapid;LASK;S;2;38;17;21;32;25;7;19;17;2;19;11;8;21;12;9;11;13;-2;36;36
24;Altach;Mattersburg;U;0;24;14;10;32;34;-2;18;14;4;6;17;-11;16;17;-1;16;17;-1;26;30
24;Graz;Salzburg;N;-2;40;9;31;47;15;32;22;9;13;18;18;0;30;7;23;17;8;9;45;52
25;LASK;Graz;N;-2;32;12;20;42;31;11;21;12;9;11;15;-4;24;13;11;18;18;0;36;45
25;SKN;Altach;N;-1;15;22;-7;25;32;-7;5;22;-17;10;32;-22;19;15;4;6;17;-11;10;27
25;Austria;WAC;S;2;34;17;17;19;34;-15;19;17;2;15;20;-5;9;13;-4;10;21;-11;27;20
25;Mattersburg;Admira;S;1;33;17;16;43;39;4;16;17;-1;17;18;-1;25;12;13;18;27;-9;31;40
25;Salzburg;Rapid;S;1;51;7;44;40;28;12;30;7;23;21;10;11;21;17;4;19;11;8;55;39
26;Altach;Rapid;U;0;27;15;12;40;29;11;19;15;4;8;18;-10;21;17;4;19;12;7;30;39
26;Austria;SKN;S;4;36;17;19;16;56;-40;21;17;4;15;20;-5;6;24;-18;10;32;-22;30;10
26;WAC;LASK;N;-3;19;13;6;32;29;3;9;13;-4;10;23;-13;21;14;7;11;15;-4;20;36
26;Admira;Graz;N;-2;45;12;33;44;31;13;25;12;13;20;30;-10;24;13;11;20;18;2;40;48
26;Mattersburg;Salzburg;U;0;36;19;17;52;17;35;19;19;0;17;18;-1;31;7;24;21;10;11;34;58
27;Rapid;WAC;S;4;40;17;23;19;39;-20;21;17;4;19;12;7;9;16;-7;10;23;-13;40;20
27;Graz;Altach;S;1;48;13;35;27;33;-6;24;13;11;24;20;4;19;15;4;8;18;-10;51;31
27;LASK;Mattersburg;S;2;35;14;21;38;39;-1;21;14;7;14;15;-1;21;21;0;17;18;-1;39;35
27;SKN;Admira;N;-1;16;24;-8;47;46;1;6;24;-18;10;36;-26;27;16;11;20;30;-10;10;40
27;Salzburg;Austria;S;5;54;7;47;40;37;3;31;7;24;23;12;11;25;17;8;15;20;-5;59;33
28;Admira;LASK;N;-1;49;16;33;38;30;8;27;16;11;22;31;-9;24;15;9;14;15;-1;43;42
28;Austria;Altach;S;1;40;17;23;27;34;-7;25;17;8;15;25;-10;19;15;4;8;19;-11;33;31
28;SKN;Graz;N;-4;17;26;-9;49;33;16;7;26;-19;10;36;-26;25;13;12;24;20;4;10;54
28;Salzburg;WAC;S;2;59;7;52;20;44;-24;36;7;29;23;12;11;9;16;-7;11;28;-17;62;20
28;Mattersburg;Rapid;N;-2;39;21;18;45;30;15;21;21;0;18;21;-3;26;18;8;19;12;7;35;43
29;Graz;Austria;N;-2;54;13;41;42;43;-1;25;13;12;29;21;8;27;18;9;15;25;-10;57;36
29;Altach;Admira;N;-1;28;15;13;49;48;1;19;15;4;9;21;-12;27;17;10;22;31;-9;31;43
29;Rapid;SKN;S;1;49;18;31;18;67;-49;26;18;8;23;14;9;8;31;-23;10;36;-26;46;10
29;WAC;Mattersburg;N;-2;20;16;4;41;46;-5;9;16;-7;11;30;-19;23;25;-2;18;21;-3;20;35
29;LASK;Salzburg;S;1;39;15;24;61;19;42;24;15;9;15;15;0;38;7;31;23;12;11;45;65
30;Graz;Mattersburg;S;3;54;15;39;43;46;-3;25;15;10;29;21;8;23;25;-2;20;21;-1;57;38
30;SKN;LASK;N;-2;19;31;-12;40;30;10;8;31;-23;11;38;-27;25;15;10;15;15;0;10;48
30;Altach;WAC;S;1;29;17;12;20;48;-28;20;17;3;9;21;-12;9;18;-9;11;30;-19;31;20
30;Austria;Rapid;N;-4;44;18;26;51;33;18;27;18;9;17;25;-8;28;19;9;23;14;9;39;49
30;Admira;Salzburg;N;-4;51;17;34;61;20;41;27;17;10;24;32;-8;38;7;31;23;13;10;46;65
31;WAC;Graz;S;1;21;18;3;57;36;21;9;18;-9;12;32;-20;28;15;13;29;21;8;20;60
31;LASK;Austria;S;1;43;15;28;44;47;-3;25;15;10;18;16;2;27;22;5;17;25;-8;51;39
31;Mattersburg;SKN;U;0;43;25;18;20;72;-52;23;25;-2;20;24;-4;9;34;-25;11;38;-27;38;10
31;Salzburg;Altach;S;2;67;7;60;31;39;-8;38;7;31;29;15;14;22;18;4;9;21;-12;68;34
31;Rapid;Admira;S;3;55;19;36;53;55;-2;28;19;9;27;14;13;29;23;6;24;32;-8;52;46
32;Austria;Mattersburg;N;-1;44;22;22;44;50;-6;27;22;5;17;26;-9;24;26;-2;20;24;-4;39;39
32;Altach;LASK;N;-2;32;18;14;44;31;13;22;18;4;10;24;-14;26;15;11;18;16;2;34;54
32;Admira;WAC;S;2;54;23;31;23;51;-28;29;23;6;25;36;-11;11;19;-8;12;32;-20;46;23
32;Graz;Rapid;S;2;58;15;43;59;34;25;28;15;13;30;23;7;32;20;12;27;14;13;60;55
