contest	date	year	month	day	time	viewers	break	hoamTeam	guestTeam	resultNumeric	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	hoamAvgPoints	guestAvgpoints
Bundesliga  Bundesliga	11.03.2018	2018	03	So	16:30	4176	3	SV Mattersburg	Red Bull Salzburg	0.000000	-0.500000	1.636364	-1.000000	-2.000000	2.047619	1.260870	0.000000	2.295455
Europa League  Europa League	15.03.2018	2018	03	Do	21:05	29320	4	Red Bull Salzburg	Borussia Dortmund	0.000000	2.000000	-1.000000	2.047619	1.208333	-1.000000	0.000000	2.266667	0.000000
Bundesliga  Bundesliga	18.03.2018	2018	03	So	14:30	7026	3	Red Bull Salzburg	FK Austria Wien	5.000000	1.956522	0.000000	1.954545	1.208333	0.000000	0.000000	2.239130	1.000000
Bundesliga  Bundesliga	31.03.2018	2018	03	Sa	18:30	5028	13	Red Bull Salzburg	Wolfsberger AC	2.000000	2.021277	-1.000000	2.086957	1.208333	-1.000000	-1.000000	2.255319	0.333333
Europa League  Europa League	05.04.2018	2018	04	Do	21:05	42538	5	Lazio Rom	Red Bull Salzburg	2.000000	0.000000	1.645833	0.000000	0.000000	2.083333	1.208333	0.000000	2.270833
Bundesliga  Bundesliga	08.04.2018	2018	04	So	15:00	5462	3	LASK	Red Bull Salzburg	1.000000	-0.333333	1.571429	-2.000000	0.000000	2.083333	1.080000	0.666667	2.224490
Europa League  Europa League	12.04.2018	2018	04	Do	21:05	29520	4	Red Bull Salzburg	Lazio Rom	3.000000	1.980000	2.000000	2.083333	1.000000	2.000000	0.000000	2.180000	3.000000
Bundesliga  Bundesliga	15.04.2018	2018	04	So	19:00	2800	3	FC Admira Wacker Mödling	Red Bull Salzburg	-4.000000	0.666667	1.549020	0.000000	-2.500000	2.120000	1.000000	0.333333	2.196078
ÖFB-Cup  ÖFB-Cup	18.04.2018	2018	04	Mi	18:00	4800	3	SV Mattersburg	Red Bull Salzburg	0.000000	-0.333333	1.596154	-0.500000	-2.000000	2.120000	1.111111	0.333333	2.211538
Bundesliga  Bundesliga	22.04.2018	2018	04	So	14:30	6148	4	Red Bull Salzburg	SC Rheindorf Altach	2.000000	2.037736	-1.333333	2.120000	1.071429	-1.000000	-2.000000	2.188679	0.000000
Europa League  Europa League	26.04.2018	2018	04	Do	21:05	63370	4	Olympique Marseille	Red Bull Salzburg	2.000000	0.000000	1.574074	0.000000	-1.000000	2.115385	1.071429	0.500000	2.203704
Bundesliga  Bundesliga	29.04.2018	2018	04	So	19:00	3552	3	SKN St. Pölten	Red Bull Salzburg	-2.000000	-0.333333	1.509091	-2.000000	-4.000000	2.115385	0.965517	0.000000	2.163636
Europa League  Europa League	03.05.2018	2018	05	Do	21:05	29520	4	Red Bull Salzburg	Olympique Marseille	2.000000	2.000000	0.333333	2.115385	1.000000	1.000000	-1.000000	2.178571	1.333333
Bundesliga  Bundesliga	06.05.2018	2018	05	So	16:30	14712	3	Red Bull Salzburg	SK Sturm Graz	3.000000	2.000000	-2.000000	2.111111	1.000000	-0.500000	-5.000000	2.192982	1.000000
ÖFB-Cup  ÖFB-Cup	09.05.2018	2018	05	Mi	20:30	27100	3	SK Sturm Graz	Red Bull Salzburg	0.000000	0.000000	1.551724	-0.500000	-4.000000	2.142857	1.000000	0.750000	2.206897
Bundesliga  Bundesliga	13.05.2018	2018	05	So	16:30	14441	4	SK Rapid Wien	Red Bull Salzburg	-3.000000	0.333333	1.525424	-1.000000	-0.500000	2.142857	0.967742	0.333333	2.186441
Bundesliga  Bundesliga	20.05.2018	2018	05	So	16:30	14441	7	Red Bull Salzburg	SV Mattersburg	1.000000	2.016667	-0.750000	2.142857	1.031250	-0.333333	-2.000000	2.200000	0.500000
Bundesliga  Bundesliga	27.05.2018	2018	05	So	17:30	4300	7	FK Austria Wien	Red Bull Salzburg	4.000000	0.000000	1.540984	0.000000	-2.500000	2.103448	1.031250	0.666667	2.213115
ÖFB-Cup  ÖFB-Cup	14.07.2017	2017	07	Fr	17:30	3000	45	ASK Ebreichsdorf	FK Austria Wien	0.000000	0.000000	-0.250000	0.000000	0.000000	2.000000	-2.500000	0.000000	1.250000
Bundesliga  Bundesliga	23.07.2017	2017	07	So	16:30	5273	9	SC Rheindorf Altach	FK Austria Wien	3.000000	-0.250000	-0.200000	-1.000000	-2.000000	2.000000	-1.666667	0.000000	1.200000
Europa League Qualifikation  Europa League Qualifikation	27.07.2017	2017	07	Do	21:05	5892	4	FK Austria Wien	AEL Limassol	0.000000	0.666667	0.000000	2.000000	-2.000000	0.000000	0.000000	1.000000	0.000000
Bundesliga  Bundesliga	30.07.2017	2017	07	So	16:00	6184	3	FK Austria Wien	SK Sturm Graz	-1.000000	0.571429	-1.800000	1.333333	-2.000000	-0.333333	-4.000000	1.000000	0.800000
