gameday	hoamTeam	guestTeam	hoamResultFactor	homeTotalGoalsShoot	homeTotalGoalsReceived	homeTotalGoalDiff	guestTotalGoalsShoot	guestTotalGoalsReceived	guestTotalGoalDiff	homeTeamGoalsShootAtHome	homeTeamGoalsReceivedAtHome	homeTeamGoalsDiffAtHome	homeTeamGoalsShootAway	homeTeamGoalsReceivedAway	homeTeamGoalsDiffAway	guestTeamGoalsShootAtHome	guestTeamGoalsReceivedAtHome	guestTeamGoalsDiffAtHome	guestTeamGoalsShootAway	guestTeamGoalsReceivedAway	guestTeamGoalsDiffAway	homeTeamPointsTotal	guestTeamPointsTotal	hoamTeamAvgPoints	guestTeamAvgPoints						
10	SKN	Graz	N	0,888888889	0,777777778	0,111111111	1,777777778	1,333333333	0,444444444	0,75	1,75	-1	1	3,4	-2,4	1,5	0,75	0,75	2	1,8	0,2	2	19	0,222222222	2,111111111						
10	Admira	LASK	S	1,888888889	0,666666667	1,222222222	1,111111111	0,777777778	0,333333333	2,5	1,5	1	1,4	2,2	-0,8	1,8	0,6	1,2	0,25	1	-0,75	13	13	1,444444444	1,444444444						
10	Mattersburg	Rapid	N	1	1,444444444	-0,444444444	2,111111111	1,777777778	0,333333333	1	2,6	-1,6	1	1,25	-0,25	2	1,6	0,4	2,25	2	0,25	6	13	0,666666667	1,444444444						
10	Austria	Altach	S	2,111111111	0,666666667	1,444444444	1	1	0	2,75	1,5	1,25	1,6	1,4	0,2	1,5	0,75	0,75	0,6	1,2	-0,6	15	12	1,666666667	1,333333333						
10	Salzburg	WAC	S	2	0,555555556	1,444444444	1,111111111	1,333333333	-0,222222222	2,6	1	1,6	1,25	0,5	0,75	1	0,6	0,4	1,25	2,25	-1	18	11	2	1,222222222						
11	LASK	Salzburg	N	1,2	0,3	0,9	2	0,8	1,2	1,8	0,6	1,2	0,6	1,6	-1	2,5	1	1,5	1,25	0,5	0,75	13	21	1,3	2,1						
11	WAC	Mattersburg	U	1,1	0,3	0,8	0,9	1,9	-1	1	0,6	0,4	1,2	2,2	-1	0,833333333	2,333333333	-1,5	1	1,25	-0,25	11	6	1,1	0,6						
11	Altach	Admira	U	0,9	0,3	0,6	2,1	1,9	0,2	1,5	0,75	0,75	0,5	1,333333333	-0,833333333	2,8	1,6	1,2	1,4	2,2	-0,8	12	16	1,2	1,6						
11	Rapid	SKN	S	2	0,8	1,2	0,8	2,7	-1,9	2	1,6	0,4	2	1,6	0,4	0,6	2	-1,4	1	3,4	-2,4	16	2	1,6	0,2						
11	Graz	Austria	S	1,9	0,3	1,6	2,1	1,3	0,8	1,5	0,75	0,75	2,166666667	1,5	0,666666667	2,6	1,2	1,4	1,6	1,4	0,2	22	18	2,2	1,8						
12	Graz	Mattersburg	S	2	0,272727273	1,727272727	1	1,909090909	-0,909090909	1,8	0,6	1,2	2,166666667	1,5	0,666666667	0,833333333	2,333333333	-1,5	1,2	1,4	-0,2	25	7	2,272727273	0,636363636						
12	SKN	LASK	N	0,727272727	0,909090909	-0,181818182	1,181818182	1,272727273	-0,090909091	0,6	2	-1,4	0,833333333	3	-2,166666667	1,666666667	1	0,666666667	0,6	1,6	-1	2	13	0,181818182	1,181818182						
12	Altach	WAC	S	1	0,454545455	0,545454545	1,181818182	1,454545455	-0,272727273	1,6	1	0,6	0,5	1,333333333	-0,833333333	1,166666667	0,833333333	0,333333333	1,2	2,2	-1	13	12	1,181818182	1,090909091						
12	Admira	Salzburg	U	2,090909091	0,727272727	1,363636364	2,090909091	0,818181818	1,272727273	2,8	1,6	1,2	1,5	2,166666667	-0,666666667	2,5	1	1,5	1,6	0,6	1	17	24	1,545454545	2,181818182						
12	Austria	Rapid	N	1,909090909	0,545454545	1,363636364	1,909090909	1,454545455	0,454545455	2,6	1,2	1,4	1,333333333	1,666666667	-0,333333333	1,833333333	1,333333333	0,5	2	1,6	0,4	18	19	1,636363636	1,727272727						
13	Rapid	Admira	S	1,833333333	0,666666667	1,166666667	2	1,833333333	0,166666667	1,833333333	1,333333333	0,5	1,833333333	1,333333333	0,5	2,5	1,5	1	1,5	2,166666667	-0,666666667	22	18	1,833333333	1,5						
13	Mattersburg	SKN	U	1,083333333	1,166666667	-0,083333333	0,666666667	2,416666667	-1,75	0,833333333	2,333333333	-1,5	1,333333333	1,666666667	-0,333333333	0,5	1,833333333	-1,333333333	0,833333333	3	-2,166666667	7	2	0,583333333	0,166666667						
13	Salzburg	Altach	S	2	0,5	1,5	1,166666667	1,25	-0,083333333	2,5	1	1,5	1,5	0,666666667	0,833333333	1,833333333	1,166666667	0,666666667	0,5	1,333333333	-0,833333333	25	16	2,083333333	1,333333333						
13	LASK	Austria	U	1,166666667	0,5	0,666666667	1,75	1,416666667	0,333333333	1,666666667	1	0,666666667	0,666666667	1,333333333	-0,666666667	2,166666667	1,166666667	1	1,333333333	1,666666667	-0,333333333	16	18	1,333333333	1,5						
13	WAC	Graz	N	1,25	0,416666667	0,833333333	2,083333333	1,166666667	0,916666667	1,166666667	0,833333333	0,333333333	1,333333333	2,333333333	-1	2	0,833333333	1,166666667	2,166666667	1,5	0,666666667	12	28	1	2,333333333						
14	Graz	Rapid	U	2,076923077	0,384615385	1,692307692	1,769230769	1,230769231	0,538461538	2	0,833333333	1,166666667	2,142857143	1,285714286	0,857142857	1,714285714	1,142857143	0,571428571	1,833333333	1,333333333	0,5	31	25	2,384615385	1,923076923						
14	Altach	LASK	N	1,076923077	0,538461538	0,538461538	1,230769231	1,230769231	0	1,833333333	1,166666667	0,666666667	0,428571429	1,428571429	-1	1,714285714	1,142857143	0,571428571	0,666666667	1,333333333	-0,666666667	16	17	1,230769231	1,307692308						
14	Admira	WAC	U	1,846153846	0,692307692	1,153846154	1,153846154	1,615384615	-0,461538462	2,5	1,5	1	1,285714286	2	-0,714285714	1	1	0	1,333333333	2,333333333	-1	18	12	1,384615385	0,923076923						
14	Austria	Mattersburg	N	1,769230769	0,538461538	1,230769231	1,076923077	1,923076923	-0,846153846	2,166666667	1,166666667	1	1,428571429	1,714285714	-0,285714286	0,857142857	2,142857143	-1,285714286	1,333333333	1,666666667	-0,333333333	19	8	1,461538462	0,615384615						
14	SKN	Salzburg	N	0,692307692	0,846153846	-0,153846154	2	0,769230769	1,230769231	0,5	1,833333333	-1,333333333	0,857142857	2,714285714	-1,857142857	2,428571429	0,857142857	1,571428571	1,5	0,666666667	0,833333333	3	28	0,230769231	2,153846154						
15	LASK	Rapid	N	1,428571429	0,571428571	0,857142857	1,642857143	1,142857143	0,5	1,714285714	1,142857143	0,571428571	1,142857143	1,428571429	-0,285714286	1,714285714	1,142857143	0,571428571	1,571428571	1,142857143	0,428571429	20	26	1,428571429	1,857142857						
15	Mattersburg	Altach	S	1,214285714	1,071428571	0,142857143	1,142857143	1,5	-0,357142857	0,857142857	2,142857143	-1,285714286	1,571428571	1,571428571	0	1,857142857	1,571428571	0,285714286	0,428571429	1,428571429	-1	11	16	0,785714286	1,142857143						
15	SKN	WAC	U	0,714285714	1	-0,285714286	1,071428571	1,5	-0,428571429	0,571428571	2	-1,428571429	0,857142857	2,714285714	-1,857142857	1	1	0	1,142857143	2	-0,857142857	3	13	0,214285714	0,928571429						
15	Austria	Admira	N	1,714285714	0,714285714	1	1,714285714	1,642857143	0,071428571	2	1,428571429	0,571428571	1,428571429	1,714285714	-0,285714286	2,142857143	1,285714286	0,857142857	1,285714286	2	-0,714285714	19	19	1,357142857	1,357142857						
15	Salzburg	Graz	S	2,071428571	0,428571429	1,642857143	1,928571429	1	0,928571429	2,428571429	0,857142857	1,571428571	1,714285714	0,714285714	1	1,714285714	0,714285714	1	2,142857143	1,285714286	0,857142857	31	32	2,214285714	2,285714286						
16	Graz	LASK	S	1,8	0,333333333	1,466666667	1,4	1,333333333	0,066666667	1,714285714	0,714285714	1	1,875	1,75	0,125	1,625	1,25	0,375	1,142857143	1,428571429	-0,285714286	32	20	2,133333333	1,333333333						
16	Altach	SKN	S	1,066666667	0,733333333	0,333333333	0,666666667	2,2	-1,533333333	1,857142857	1,571428571	0,285714286	0,375	1,375	-1	0,5	1,75	-1,25	0,857142857	2,714285714	-1,857142857	16	4	1,066666667	0,266666667						
16	Admira	Mattersburg	S	1,8	0,6	1,2	1,2	1,733333333	-0,533333333	2,142857143	1,285714286	0,857142857	1,5	2	-0,5	0,875	1,875	-1	1,571428571	1,571428571	0	22	14	1,466666667	0,933333333						
16	WAC	Austria	N	1	0,466666667	0,533333333	1,733333333	1,666666667	0,066666667	1	1	0	1	1,75	-0,75	2	1,625	0,375	1,428571429	1,714285714	-0,285714286	14	19	0,933333333	1,266666667						
