contest	year	month	day	time	viewers	break	hoamTeam	guestTeam	resultNumeric	homeTotalGoalDiff	guestTotalGoalDiff	homeTeamGoalsDiffAtHome	homeTeamGoalsDiffAway	guestTeamGoalsDiffAtHome	guestTeamGoalsDiffAway	hoamAvgPoints	guestAvgpoints	fortlfd
Bundesliga  Bundesliga	2017	09	Sa	0.770833333	9312	3	SK Sturm Graz	SC Rheindorf Altach	0	0.952380952	-0.625	0	-0.083333333	0.5	-1.75	1.523809524	0.75	120
Bundesliga  Bundesliga	2017	09	Sa	0.666666667	3463	7	SKN St. Pölten	SK Sturm Graz	-3	0.333333333	-0.045454545	-0.25	-3.4	0	-0.083333333	0.666666667	1.5	121
Bundesliga  Bundesliga	2017	10	Sa	0.666666667	9387	6	SK Sturm Graz	SV Mattersburg	1	1	-0.3	0	0.153846154	-0.5	0	1.565217391	1.1	122
ÖFB-Cup  ÖFB-Cup	2017	10	Mi	0.75	6770	4	SK Sturm Graz	SC Rheindorf Altach	3	1	-0.555555556	0.090909091	0.153846154	0.5	-1.4	1.625	0.777777778	123
Bundesliga  Bundesliga	2017	10	So	0.6875	4475	4	Wolfsberger AC	SK Sturm Graz	-2	0.222222222	0.24	-0.5	-1.2	0.333333333	0.153846154	0.555555556	1.68	124
Bundesliga  Bundesliga	2017	11	Sa	0.666666667	15549	6	SK Sturm Graz	SK Rapid Wien	0	1.115384615	0	0.333333333	0.285714286	-1	1	1.730769231	1.2	125
Bundesliga  Bundesliga	2017	11	Sa	0.666666667	10536	6	SK Sturm Graz	LASK	1	1.074074074	0.111111111	0.307692308	0.285714286	0.2	0	1.703703704	1.666666667	126
Bundesliga  Bundesliga	2017	11	Di	0.791666667	6527	3	SK Sturm Graz	FC Admira Wacker Mödling	5	1.071428571	-0.888888889	0.357142857	0.285714286	-0.8	-1	1.75	1.222222222	127
Bundesliga  Bundesliga	2017	12	Sa	0.770833333	3872	4	SC Rheindorf Altach	SK Sturm Graz	-1	0.5	0.482758621	0.5	-1.666666667	0.666666667	0.285714286	0.7	1.793103448	128
Bundesliga  Bundesliga	2017	12	Sa	0.770833333	8778	7	SK Sturm Graz	SKN St. Pölten	1	1.233333333	-2.1	0.666666667	0.333333333	-0.8	-3.4	1.833333333	0.6	129
Bundesliga  Bundesliga	2018	02	Sa	0.666666667	3400	48	SV Mattersburg	SK Sturm Graz	1	0.454545455	0.516129032	-0.5	-0.2	0.6875	0.333333333	1	1.870967742	130
Bundesliga  Bundesliga	2018	02	Sa	0.770833333	7183	7	SK Sturm Graz	Wolfsberger AC	-1	1.1875	-1	0.6875	0.25	-0.8	-1.2	1.8125	0.5	131
Bundesliga  Bundesliga	2018	02	Sa	0.666666667	20200	7	SK Rapid Wien	SK Sturm Graz	0	0.363636364	0.424242424	-1	0.833333333	0.588235294	0.25	1.181818182	1.757575758	132
ÖFB-Cup  ÖFB-Cup	2018	02	Mi	0.75	2811	3	SK Sturm Graz	SV Wimpassing	3	1.117647059	0	0.588235294	0.235294118	0	0	1.735294118	0	133
