,weekday,day,month,year,home_team_break,guest_team_break,date,time,home_team_name,guest_team_name,competition,saison,gameday,home_coach,guest_coach,resultNumeric,homeTotalGoalsShoot,homeTotalGoalsReceived,homeTotalGoalDiff,guestTotalGoalsShoot,guestTotalGoalsReceived,guestTotalGoalDiff,homeTeamGoalsShootAtHome,homeTeamGoalsReceivedAtHome,homeTeamGoalsDiffAtHome,homeTeamGoalsShootAway,homeTeamGoalsReceivedAway,homeTeamGoalsDiffAway,guestTeamGoalsShootAtHome,guestTeamGoalsReceivedAtHome,guestTeamGoalsDiffAtHome,guestTeamGoalsShootAway,guestTeamGoalsReceivedAway,guestTeamGoalsDiffAway,hoamAvgPoints,guestAvgpoints,htb_0,htb_2,htb_3,htb_4,htb_5,htb_6,htb_7,htb_8,htb_9,htb_10,htb_11,htb_12,htb_13,htb_14,htb_15,htb_>15,gtb_0,gtb_2,gtb_3,gtb_4,gtb_5,gtb_6,gtb_7,gtb_8,gtb_9,gtb_10,gtb_11,gtb_12,gtb_13,gtb_14,gtb_15,gtb_>15
21,3,23,7,2009,7,7,2009-07-23,20:15,NK Siroki Brijeg,SK Sturm Graz,Europa League Qualifikation,2009/10,2.Runde Rückspiele,?,Franco Foda,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,-1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,4,24,7,2009,7,7,2009-07-24,18:00,FC Gratkorn,TSV Hartberg,2. Liga,2009/10,3,Michael Fuchs †,Bruno Friesenbichler,0.0,2.0,0.5,1.5,0.0,3.0,-3.0,1.0,1.0,0.0,3.0,3.0,0.0,0.0,2.0,-2.0,0.0,4.0,-4.0,1.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,4,24,7,2009,7,7,2009-07-24,18:00,SKN St. Pölten,Red Bull Juniors Salzburg,2. Liga,2009/10,3,Martin Scherb,Niko Kovac,0.0,1.5,0.5,1.0,2.0,2.5,-0.5,1.5,0.5,1.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,2.0,-1.0,2.0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,4,24,7,2009,7,6,2009-07-24,18:00,FC Wacker Innsbruck,SC Austria Lustenau,2. Liga,2009/10,3,Walter Kogler,Edmund Stöhr,5.0,2.0,0.5,1.5,0.5,1.0,-0.5,2.0,1.0,1.0,2.0,0.0,2.0,0.5,1.0,-0.5,0.0,0.0,0.0,3.0,1.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,4,24,7,2009,7,7,2009-07-24,18:00,FC Lustenau,FC Dornbirn,2. Liga,2009/10,3,Nenad Bjelica,Armand Benneker,0.0,2.0,0.0,2.0,0.0,3.0,-3.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,4.0,-4.0,0.0,2.0,-2.0,3.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,4,24,7,2009,6,7,2009-07-24,18:00,SC Rheindorf Altach,FK Austria Wien Amateure,2. Liga,2009/10,3,Adi Hütter,Johann Dihanich,2.0,3.0,0.0,3.0,0.0,2.0,-2.0,4.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,-2.0,3.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,4,24,7,2009,6,5,2009-07-24,20:30,LASK,FK Austria Wien,Bundesliga,2009/10,2,Matthias Hamann,Karl Daxbacher,-1.0,4.0,0.0,4.0,1.0,2.0,-1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,3.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,5,25,7,2009,8,8,2009-07-25,17:00,FC Admira Wacker Mödling,First Vienna FC,2. Liga,2009/10,3,Walter Schachner,Peter Stöger,2.0,2.0,0.5,1.5,1.0,1.0,0.0,0.0,1.0,-1.0,4.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,1.5,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,5,25,7,2009,7,3,2009-07-25,19:30,SV Ried,Red Bull Salzburg,Bundesliga,2009/10,2,Paul Gludovatz,Huub Stevens,1.0,1.0,0.0,1.0,1.333333333,0.666666667,0.666666667,0.0,0.0,0.0,1.0,0.0,1.0,1.5,1.0,0.5,1.0,0.0,1.0,3.0,2.333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,6,26,7,2009,8,3,2009-07-26,17:00,SV Mattersburg,SK Rapid Wien,Bundesliga,2009/10,2,Franz Lederer,Peter Pacult,1.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,-4.0,5.0,0.0,5.0,3.0,0.0,3.0,0.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,6,26,7,2009,3,9,2009-07-26,19:30,SK Sturm Graz,SC Wiener Neustadt,Bundesliga,2009/10,2,Franco Foda,Helmut Kraft,3.0,1.5,0.5,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32,6,26,7,2009,8,9,2009-07-26,19:30,SV Kapfenberg,SK Austria Kärnten,Bundesliga,2009/10,2,Werner Gregoritsch,Frenkie Schinkels,1.0,0.0,1.0,-1.0,1.0,3.0,-2.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,-2.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
33,2,29,7,2009,4,higher15,2009-07-29,20:30,Red Bull Salzburg,GNK Dinamo Zagreb,UEFA Champions League-Qualifikation,2009/10,3.Runde Hinspiele,Huub Stevens,?,0.0,1.0,0.5,0.5,0.0,0.0,0.0,1.5,1.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,3,30,7,2009,higher15,4,2009-07-30,17:00,OFK Petrovac,SK Sturm Graz,Europa League Qualifikation,2009/10,3.Runde Hinspiele,?,Franco Foda,-1.0,0.0,0.0,0.0,2.0,0.666666667,1.333333333,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.5,2.0,1.0,1.0,0.0,0.0,2.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,3,30,7,2009,4,higher15,2009-07-30,19:15,SK Rapid Wien,APOP Kinyras Pegias,Europa League Qualifikation,2009/10,3.Runde Hinspiele,Peter Pacult,?,1.0,3.0,0.0,3.0,0.0,0.0,0.0,5.0,0.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,3,30,7,2009,higher15,6,2009-07-30,19:15,FK Vojvodina Novi Sad,FK Austria Wien,Europa League Qualifikation,2009/10,3.Runde Hinspiele,?,Karl Daxbacher,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
37,4,31,7,2009,7,7,2009-07-31,18:00,Red Bull Juniors Salzburg,FC Admira Wacker Mödling,2. Liga,2009/10,4,Niko Kovac,Walter Schachner,-1.0,0.0,0.666666667,-0.666666667,1.6666666669999999,1.0,0.666666667,0.0,2.0,-2.0,0.0,2.0,-2.0,1.6666666669999999,1.0,0.666666667,0.0,0.0,0.0,0.333333333,1.6666666669999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,4,31,7,2009,6,7,2009-07-31,18:00,SC Austria Lustenau,FC Gratkorn,2. Liga,2009/10,4,Edmund Stöhr,Michael Fuchs †,-2.0,0.666666667,0.0,0.666666667,1.6666666669999999,0.333333333,1.333333333,0.0,0.0,0.0,0.666666667,1.333333333,-0.666666667,2.0,0.5,1.5,1.0,0.0,1.0,0.666666667,2.333333333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,4,31,7,2009,7,7,2009-07-31,18:00,First Vienna FC,FC Lustenau,2. Liga,2009/10,4,Peter Stöger,Nenad Bjelica,0.0,0.333333333,0.0,0.333333333,0.333333333,2.333333333,-2.0,0.0,0.0,0.0,0.333333333,2.333333333,-2.0,0.0,4.0,-4.0,0.5,1.5,-1.0,0.0,0.333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,4,31,7,2009,7,7,2009-07-31,18:00,FK Austria Wien Amateure,FC Dornbirn,2. Liga,2009/10,4,Johann Dihanich,Armand Benneker,1.0,0.333333333,0.666666667,-0.333333333,1.333333333,1.333333333,0.0,0.5,1.0,-0.5,0.0,5.0,-5.0,0.5,0.5,0.0,3.0,3.0,0.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,4,31,7,2009,7,6,2009-07-31,18:00,TSV Hartberg,SKN St. Pölten,2. Liga,2009/10,4,Bruno Friesenbichler,Martin Scherb,-2.0,2.0,1.0,1.0,2.0,0.333333333,1.6666666669999999,3.0,3.0,0.0,1.5,2.0,-0.5,1.0,0.5,0.5,4.0,0.0,4.0,0.666666667,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
42,4,31,7,2009,5,6,2009-07-31,20:30,SC Wiener Neustadt,SV Ried,Bundesliga,2009/10,3,Helmut Kraft,Paul Gludovatz,1.0,1.5,0.5,1.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,-3.0,1.0,0.0,1.0,1.0,0.0,1.0,1.5,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
43,5,1,8,2009,8,8,2009-08-01,17:00,SC Rheindorf Altach,FC Wacker Innsbruck,2. Liga,2009/10,4,Adi Hütter,Walter Kogler,3.0,3.0,0.333333333,2.666666667,3.0,0.333333333,2.666666667,3.5,0.5,3.0,2.0,0.0,2.0,3.5,0.5,3.0,2.0,0.0,2.0,3.0,3.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44,5,1,8,2009,3,8,2009-08-01,19:30,Red Bull Salzburg,LASK,Bundesliga,2009/10,3,Huub Stevens,Matthias Hamann,1.0,1.0,0.6,0.4,4.0,2.5,1.5,1.333333333,1.0,0.333333333,0.5,0.5,0.0,4.0,2.5,1.5,0.0,0.0,0.0,1.6,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,6,2,8,2009,3,7,2009-08-02,17:00,SK Rapid Wien,SK Austria Kärnten,Bundesliga,2009/10,3,Peter Pacult,Frenkie Schinkels,4.0,2.75,0.25,2.5,1.5,3.0,-1.5,3.5,0.5,3.0,2.0,1.0,1.0,0.0,0.0,0.0,1.5,3.0,-1.5,2.25,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
