,competition,date,gameday,guest_coach,guest_game_system,guest_team_id,guest_team_name,home_coach,home_game_system,home_team_id,home_team_name,identifier,result,saison,time,viewers
264,Bundesliga,Sa. 07.12.2019,17,,,3551,SC Rheindorf Altach,,,122,SK Sturm Graz,c5c34d38a55e624ad3a6f7a8c818cdf9746ee8a52c209053d389a796b4c2b02d,-:-,2019/20,-,0
265,Bundesliga,Sa. 14.12.2019,18,,,122,SK Sturm Graz,,,413,LASK,ef24a520e226b15f60ee282b7492b907c788efa76b3a48e254bf81fddc3abbbb,-:-,2019/20,-,0
266,Bundesliga,Sa. 15.02.2020,19,,,856,SV Mattersburg,,,122,SK Sturm Graz,6b19c534ed0e678eeaac8a5e51a2bf23315c3460eefe7e92be636961e3a97cfd,-:-,2019/20,-,0
267,Bundesliga,Sa. 22.02.2020,20,,,122,SK Sturm Graz,,,503,FC Admira Wacker Mödling,87700720a3a9a35297b237099fdf11ce27ede0c3ebf9260399f5260689af3373,-:-,2019/20,-,0
268,Bundesliga,Sa. 29.02.2020,21,,,14,FK Austria Wien,,,122,SK Sturm Graz,16f28d70f833486bc5e0c35888d8c08bd913ea0b0831a9522b306216fa3be4e1,-:-,2019/20,-,0
269,Bundesliga,Sa. 07.03.2020,22,,,122,SK Sturm Graz,,,409,Red Bull Salzburg,ffb0b5b6f91012eb40b40f6fe4d979084566905e179e1005986bc2292bfbe500,-:-,2019/20,-,0
270,ÖFB-Cup,Fr. 19.07.2019,1.Runde,Nestor El Maestro,4-2-3-1 ,122,SK Sturm Graz,,,5469,USK Anif,612f48c8d71a55778b682a93ddebcd3fdc36cd88405bb985d248ca73863b518c,1:4,2019/20,17:30,850
271,ÖFB-Cup,Di. 24.09.2019,2.Runde,,,122,SK Sturm Graz,,,28760,SK Austria Klagenfurt,4149159aae902ba7b0d007842b51e7a45d065da636f2d9a337ba2d7e8ab29ecf,-:-,2019/20,-,0
272,Bundesliga,Fr. 26.07.2019,1,,,409,Red Bull Salzburg,Dietmar Kühbauer,3-5-2 flach,170,SK Rapid Wien,f0c2f6f0c49f58ee44a20c05eb717795c908b2e1cb9b78c7cc709d4306e2bdc8,0:2,2019/20,20:45,24200
273,Bundesliga,So. 04.08.2019,2,Dietmar Kühbauer,3-5-2 flach,170,SK Rapid Wien,,,2662,SKN St. Pölten,00ceda1eb1ab13782b4e1f81387a62724a67ddee5a4a1094d7dc30ccbac0605b,2:2,2019/20,17:00,7582
