,competition,date,gameday,guest_coach,guest_game_system,guest_team_id,guest_team_name,home_coach,home_game_system,home_team_id,home_team_name,identifier,result,saison,time,viewers,weekday,day,month,year
3231,2. Liga,2016-05-08 18:30:00,3,Oliver Glasner,4-4-1-1,413,LASK,Thomas Letsch,4-2-3-1 ,37024,FC Liefering,bb14a915682285eed35eada2da393cec60509896daf9ffb19162f84597e6e1a2,4:2,2016/17,18:30,701,6,8,5,2016
3232,2. Liga,2016-12-08 18:30:00,4,Jürgen Halper,4-2-3-1 ,7443,Floridsdorfer AC,Thomas Letsch,4-2-3-1 ,37024,FC Liefering,d55703b8f66dff7f19e58ee318d4227968b327e857a279db1366f00ec9861a76,2:1,2016/17,18:30,200,3,8,12,2016
3234,2. Liga,2016-08-19 18:30:00,6,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,Thomas Letsch,4-2-3-1 ,37024,FC Liefering,adbb93efde8d8b4e0fedf0ac2911b95949aa39f642df4b38d5c1c46a822f9307,2:0,2016/17,18:30,495,4,19,8,2016
3236,2. Liga,2016-09-09 18:30:00,8,Thomas Letsch,4-3-3 offensiv,37024,FC Liefering,Thomas Silberberger,4-5-1 flach,2446,WSG Wattens,89a22ace9750cbaaa42c3a60f3138c15c505f37ccc026c361a6996500fbaef6c,1:1,2016/17,18:30,1300,4,9,9,2016
3237,2. Liga,2016-09-13 18:30:00,9,Wilhelm Wahlmüller,4-2-3-1 ,2157,FC Blau Weiß Linz,Thomas Letsch,4-3-3 defensiv,37024,FC Liefering,30b23da445726b6df9ce7ca7872e2562b0a77ed6dd0a72737e7a098bc19f1b10,2:0,2016/17,18:30,360,1,13,9,2016
3238,2. Liga,2016-09-16 20:30:00,10,Thomas Letsch,4-3-3 defensiv,37024,FC Liefering,Masanori Hamayoshi,4-1-4-1,10044,SV Horn,74effb8fff34c78aacb3dc24eadf8e525d646b39be347be333c506226d44711a,2:3,2016/17,20:30,850,4,16,9,2016
3239,2. Liga,2016-09-23 18:30:00,11,René Wagner,4-4-2 doppel 6,17444,SC Wiener Neustadt,Thomas Letsch,4-2-3-1 ,37024,FC Liefering,943d3571783ff4d8230dffc71f555df99543d0ca4a3fb6cdb6b36f24cb34c6f3,3:1,2016/17,18:30,300,4,23,9,2016
3240,2. Liga,2016-09-30 18:30:00,12,Thomas Letsch,4-2-3-1 ,37024,FC Liefering,Oliver Glasner,4-4-1-1,413,LASK,7287a3d4d0f2289588899cb7111d98decb6b76ba166f4f38a1675c2cf3dae13e,3:3,2016/17,18:30,2319,4,30,9,2016
3241,2. Liga,2016-10-14 18:30:00,13,Thomas Letsch,4-2-3-1 ,37024,FC Liefering,Jürgen Halper,4-4-2 doppel 6,7443,Floridsdorfer AC,0ec111f13013e04a9e8b734d1bee4189663bd3499d32e0d4d372986a74c156b1,1:5,2016/17,18:30,600,4,14,10,2016
3243,2. Liga,2016-10-21 18:30:00,15,Thomas Letsch,4-4-2 Raute,37024,FC Liefering,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,692e2410f0bc64c8448230a838c9f1e3dd30fcd03f6d911cb0eba753f4b9f65f,1:0,2016/17,18:30,620,4,21,10,2016
3245,2. Liga,2016-04-11 18:30:00,17,Thomas Silberberger,4-3-3 offensiv,2446,WSG Wattens,Thomas Letsch,4-2-3-1 ,37024,FC Liefering,75f4f5fc79d993c007411d667a2cd932424400dfc64f2727cd6d35e137542ee3,0:0,2016/17,18:30,289,0,11,4,2016
3246,2. Liga,2016-11-18 18:30:00,18,Thomas Letsch,4-2-3-1 ,37024,FC Liefering,Klaus Schmidt,?,2157,FC Blau Weiß Linz,85c8bb4a5b547c7328d735d97a64b26659b2e3f814a60bffad76a0e49fcfb1d4,1:1,2016/17,18:30,830,4,18,11,2016
3247,2. Liga,2016-11-25 18:30:00,19,Masanori Hamayoshi,4-1-4-1,10044,SV Horn,Thomas Letsch,4-2-3-1 ,37024,FC Liefering,b4e96c9ad34dd49d12e8e1a299dc7b9c0be601d01875f485f020c66294d57c68,1:1,2016/17,18:30,210,4,25,11,2016
3248,2. Liga,2016-02-12 18:30:00,20,Thomas Letsch,4-4-2 doppel 6,37024,FC Liefering,René Wagner,4-4-2 doppel 6,17444,SC Wiener Neustadt,4a47daba8a3736535bcc459b123afbf8f4715a8e2b0e0b1c76ec8a16b2a8e597,0:1,2016/17,18:30,550,4,12,2,2016
3249,2. Liga,2017-02-24 20:30:00,21,Oliver Glasner,4-4-1-1,413,LASK,Thomas Letsch,4-4-2 doppel 6,37024,FC Liefering,b7bac06af5e59752bad8cabfb88392fd0baf22aa41a7aaa64436184987772dbb,0:3,2016/17,20:30,730,4,24,2,2017
3250,2. Liga,2017-03-03 18:30:00,22,Franz Maresch,5-4-1 flach,7443,Floridsdorfer AC,Thomas Letsch,4-4-2 doppel 6,37024,FC Liefering,235014abfc7fa8b0ec4c177866e02f29f8e306773ef0ae0d12dac523bf9530b4,1:0,2016/17,18:30,500,4,3,3,2017
3252,2. Liga,2017-03-14 18:30:00,24,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,Thomas Letsch,4-4-2 Raute,37024,FC Liefering,a476b6994a2efd92bc2318723fdddf306ac2e0d8a40de810b2eafeb690573d81,1:1,2016/17,18:30,215,1,14,3,2017
3254,2. Liga,2017-03-31 18:30:00,26,Thomas Letsch,4-3-3 offensiv,37024,FC Liefering,Thomas Silberberger,4-3-3 offensiv,2446,WSG Wattens,5d5d4b8b7a382cdb5df9c592b91099efd5a3228e01aef08a63ef6448a1f1857e,5:0,2016/17,18:30,1300,4,31,3,2017
3255,2. Liga,2017-07-04 18:30:00,27,Klaus Schmidt,4-4-2 doppel 6,2157,FC Blau Weiß Linz,Thomas Letsch,4-4-2 doppel 6,37024,FC Liefering,1b7be9aa5e023cfd1bbdbc854206551ecebc98e8cc70375eba51f7aa596a4e28,0:3,2016/17,18:30,380,1,4,7,2017
3256,2. Liga,2017-04-14 18:30:00,28,Thomas Letsch,4-4-2 doppel 6,37024,FC Liefering,Masanori Hamayoshi,4-3-3 offensiv,10044,SV Horn,aa96de56bc9b94362734a73f5e5b638cbb830c6fe025026bc72f2967a608de30,0:1,2016/17,18:30,860,4,14,4,2017
3257,2. Liga,2017-04-25 18:30:00,29,René Wagner,4-4-2 doppel 6,17444,SC Wiener Neustadt,Thomas Letsch,4-5-1,37024,FC Liefering,f3f08a794934a5a4e5a77f05f0693e7e0f08456355c09234415b98485aad86f2,2:1,2016/17,18:30,162,1,25,4,2017
3258,2. Liga,2017-04-21 18:30:00,30,Thomas Letsch,5-4-1 flach,37024,FC Liefering,Oliver Glasner,4-4-1-1,413,LASK,e4a299b3e817b56c182f8fae6cff34621ff39fd9f32993142c9259dc83dd7c63,3:0,2016/17,18:30,3620,4,21,4,2017
3259,2. Liga,2017-04-28 18:30:00,31,Thomas Letsch,4-4-2 doppel 6,37024,FC Liefering,Dominik Glawogger,4-2-3-1 ,7443,Floridsdorfer AC,5b51acb9bf481cac8043599f0a729db7004ba40eec56368c1806e0cde36fc80f,0:3,2016/17,18:30,350,4,28,4,2017
3261,2. Liga,2017-05-05 18:30:00,33,Thomas Letsch,4-2-3-1 ,37024,FC Liefering,Abdulah Ibrakovic,4-2-3-1 ,2394,SV Kapfenberg,60123699cf4b0121830cee3cef27e9843e40911e16ef53b6ace206133055913b,0:3,2016/17,18:30,620,4,5,5,2017
