,competition,date,gameday,guest_coach,guest_game_system,guest_team_id,guest_team_name,home_coach,home_game_system,home_team_id,home_team_name,identifier,result,saison,time,viewers
196,ÖFB-Cup,Di. 25.09.2018,2.Runde,,,2446,WSG Wattens,Markus Schopp,4-4-2 doppel 6,4467,TSV Hartberg,0b062da9a355e2526cf7b3d43a4ca4f63f31c40b768d799e8593c10c0d3c2604,3:0,2018/19,19:00,875
197,ÖFB-Cup,Di. 30.10.2018,Achtelfinale,,,2444,FC Wacker Innsbruck,Markus Schopp,?,4467,TSV Hartberg,c44916ad25a821eafd9881c7d0d4ff5ce4a27fc7700acf10dbe1cfb01b704771,4:3,2018/19,18:00,1467
198,ÖFB-Cup,So. 17.02.2019,Viertelfinale,Markus Schopp,4-5-1,4467,TSV Hartberg,,,170,SK Rapid Wien,168196f2b322187b269e2987e4d6ed1f9b05e4e7d5513a92f64f8735de2bf66a,5:2,2018/19,17:15,12700
199,Bundesliga,So. 29.07.2018,1,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,,,2662,SKN St. Pölten,4e89802b5a5de49a65d127f440dac83d83342a4da82ef7df4bdd62c8b6efd254,4:3,2018/19,17:00,2786
200,Bundesliga,So. 05.08.2018,2,,,14,FK Austria Wien,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,6893d43ff4869ff8fa5002fab5508d6ec0522b3a916846cbd8058a7d8ef1067c,1:0,2018/19,17:30,4727
201,Bundesliga,So. 12.08.2018,3,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,,,170,SK Rapid Wien,60d1b6a8597ffa1e14d6801703abbcd8e7371d43bcda535b52684bb03c11af92,0:0,2018/19,17:00,14800
202,Bundesliga,Sa. 18.08.2018,4,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,,,856,SV Mattersburg,ee850bbe6ad2f17620696eb50a8e4c4a48fc8ca9db4bce881bdc8d6a489b8f7d,0:6,2018/19,17:00,2200
203,Bundesliga,Sa. 25.08.2018,5,,,122,SK Sturm Graz,Christian Ilzer,4-3-3 offensiv,4441,Wolfsberger AC,6028054963bf59c99400ce578e946fcea44cf005cbfbbc465b839b241473d087,1:1,2018/19,17:00,5635
204,Bundesliga,So. 02.09.2018,6,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,,,413,LASK,b4b04b1fa0439c0a1a9c9896d3cafa0bf4b6fe2a97c86650a41813dfc226f609,2:0,2018/19,17:00,5119
205,Bundesliga,So. 16.09.2018,7,,,2444,FC Wacker Innsbruck,Christian Ilzer,4-1-3-2,4441,Wolfsberger AC,ccd586e94e776c087c3beca1b0b0772384044a74de07157722c7dd4f64d469cb,3:1,2018/19,14:30,3887
206,Bundesliga,Sa. 22.09.2018,8,Christian Ilzer,4-1-3-2,4441,Wolfsberger AC,,,3551,SC Rheindorf Altach,0d7793a51beb41b42dcbbb02689289bcd20c064b81d5f4d8e5c7ef88ebc7aeb9,0:1,2018/19,17:00,3267
207,Bundesliga,Sa. 29.09.2018,9,,,409,Red Bull Salzburg,Christian Ilzer,4-3-3 offensiv,4441,Wolfsberger AC,381cbfc03033d8a5028ef6fefe98bd4bd07229c8ee3577a20ea08f4c1a188c4d,1:4,2018/19,17:00,4655
208,Bundesliga,Sa. 06.10.2018,10,,,4467,TSV Hartberg,Christian Ilzer,4-3-3 offensiv,4441,Wolfsberger AC,c8fbe0ba2e2a8cc4cb8ea39a4461f3a258018a0d925139e8af1624904ffb8e16,3:4,2018/19,17:00,3213
209,Bundesliga,So. 21.10.2018,11,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,,,503,FC Admira Wacker Mödling,fd5f90ef4864429f1d4f80d88f463838e756cde2c5056467c22338ff5c33ec8d,0:0,2018/19,14:30,1700
210,Bundesliga,So. 28.10.2018,12,,,2662,SKN St. Pölten,Christian Ilzer,4-1-3-2,4441,Wolfsberger AC,ad15b11ec6bdc5e68208cee8471ba93e9f69468ce08c7adefb19666f31d21895,1:0,2018/19,14:30,2586
211,Bundesliga,So. 04.11.2018,13,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,,,14,FK Austria Wien,027b7e14d2b9a9eda3568d167c59e34df4e74547d44d5cd4b0c035f5f09cee5a,2:3,2018/19,14:30,8540
212,Bundesliga,So. 11.11.2018,14,,,170,SK Rapid Wien,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,4c0a7a305e6cea4e8c3f090cd3af2c9c7262658798cb3af199d20101f5c4aee3,3:1,2018/19,14:30,5444
213,Bundesliga,Sa. 24.11.2018,15,,,856,SV Mattersburg,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,31ac1c0588671670ac89b100821afc7dd3816f414e5ae96dc29e25baddf47884,2:2,2018/19,17:00,2766
214,Bundesliga,So. 02.12.2018,16,Christian Ilzer,4-4-2 Raute,4441,Wolfsberger AC,,,122,SK Sturm Graz,9dcfe121a2b4de582400df2b7104614785a6acfad79d45da368566a08d57e7cf,3:0,2018/19,17:00,8074
215,Bundesliga,Sa. 08.12.2018,17,,,413,LASK,Christian Ilzer,4-4-2 Raute,4441,Wolfsberger AC,acb6ac96648d86e2ba50553485331f39424fdcc5d2af1f18e414f643397001f6,1:1,2018/19,17:00,2655
216,Bundesliga,Sa. 15.12.2018,18,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,,,2444,FC Wacker Innsbruck,258c85559052f1252da81872d903e81993935c8f63ea6724488388c2b54212fe,0:0,2018/19,17:00,2035
217,Bundesliga,Sa. 23.02.2019,19,,,3551,SC Rheindorf Altach,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,c0799d9da2c8c6e05f4fc5ac5076ba7e449f7aec76db6a99c75f53ed2ef2817c,0:0,2018/19,17:00,3198
218,Bundesliga,Sa. 02.03.2019,20,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,,,409,Red Bull Salzburg,1d776b567fac2fd30fe20ff97c8310d8789dbc0c7d7558af97c4265ec81e4ed2,3:0,2018/19,17:00,6111
219,Bundesliga,So. 10.03.2019,21,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,,,4467,TSV Hartberg,2ffabefa53038d3ddbfd81d048801c98da446206ce7349d5f201116aafd6e3a9,1:1,2018/19,17:00,3678
220,Bundesliga,So. 17.03.2019,22,,,503,FC Admira Wacker Mödling,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,3310cbec57ae9cb9b385e6514e20313b7b99eafd413282684fbac409be9a57f6,2:2,2018/19,17:00,4488
221,Bundesliga,So. 31.03.2019,23,,,413,LASK,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,61684a858abbd5ab7ec535746811133dc9b44445723c704e7501ebd5ad35651d,0:3,2018/19,14:30,3691
222,Bundesliga,So. 07.04.2019,24,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,,,2662,SKN St. Pölten,5f9795514dec4ab7bf1f0ae4aad110f794422f0ced4b897b43edde0b683fb1b9,1:3,2018/19,14:30,2277
223,Bundesliga,So. 14.04.2019,25,,,14,FK Austria Wien,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,9a353b17a46c511cefb7f0d0985f28f32a0b3f59ce0e8ece9238ec2dc0d2f6a1,1:1,2018/19,14:30,3357
224,Bundesliga,So. 21.04.2019,26,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,,,122,SK Sturm Graz,bbe020283d5f402360788045fce4d52b1364c392553e908e0731a01a492234a2,1:2,2018/19,14:30,9376
225,Bundesliga,Mi. 24.04.2019,27,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,,,409,Red Bull Salzburg,f65f0d8a5e63cdb73ded0a7d2a6b3478c9a711b8d923bf8e39aa1a79db0bf8bf,3:1,2018/19,19:00,6181
226,Bundesliga,So. 28.04.2019,28,,,409,Red Bull Salzburg,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,b980fc00713bb6c824ce6f2145669f363250c7c5f80ac819c1b003f454b58ed5,2:1,2018/19,14:30,3409
227,Bundesliga,So. 05.05.2019,29,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,,,413,LASK,0c7326f602e78fe3223d2c506e318032c1721f2d71209020c79d76bf54c91027,3:0,2018/19,14:30,5342
228,Bundesliga,So. 12.05.2019,30,,,2662,SKN St. Pölten,Christian Ilzer,4-4-2 doppel 6,4441,Wolfsberger AC,6c8d91eb4b88f84aad3288a5d03380e5163dcebc6192f0df60d34d95dfba10d1,4:0,2018/19,14:30,2916
