,pred,actual
534,0.587,1
535,0.834,1
536,1.365,2
537,-2.088,-2
538,-1.597,-2
539,2.868,4
540,0.103,0
541,-0.058,0
542,1.636,2
543,2.311,3
544,3.599,5
545,-1.064,-2
546,-0.677,-1
547,-0.841,-1
548,-2.859,-4
549,-3.618,-5
550,4.067,5
551,1.787,2
552,-0.375,-1
553,0.466,0
554,1.663,2
555,-1.47,-2
556,-1.066,-1
557,-0.101,0
558,-1.236,-1
559,-1.155,-2
560,-0.895,-1
561,2.233,3
562,0.15,0
563,0.007,0
564,-0.427,0
565,-2.277,-3
566,-2.393,-3
567,-2.452,-2
568,-0.259,0
569,0.919,1
570,-1.964,-3
571,1.014,1
572,1.669,2
573,-0.277,0
574,-1.537,-2
575,0.414,1
576,-1.439,-2
577,-0.098,-1
578,-0.692,-1
579,2.541,4
580,-0.131,-1
581,-0.31,0
582,-4.97,-7
583,-0.687,-1
584,-3.086,-3
585,1.99,3
586,-1.068,-2
587,-4.295,-6
588,-0.169,0
589,-0.917,-1
590,0.848,1
591,0.467,1
592,-0.021,0
593,-1.432,-2
594,-3.851,-5
595,-0.445,-1
596,-0.137,0
597,1.336,2
598,-1.587,-3
599,-3.507,-5
600,-6.747,-9
601,2.282,2
602,0.139,0
603,1.571,3
604,1.01,1
605,-0.139,0
606,-1.236,-2
607,1.296,2
608,-4.508,-6
609,0.682,1
610,1.306,1
611,-0.096,0
612,-0.301,-1
613,0.08,0
614,-6.122,-9
615,-0.028,0
616,-2.503,-3
617,-0.202,0
618,-1.911,-3
619,-0.769,-1
620,-0.557,0
621,-1.337,-1
622,0.613,1
623,0.563,0
624,2.056,2
625,1.249,1
626,-1.516,-2
627,0.62,1
628,0.269,0
629,2.702,4
630,0.699,1
631,-0.021,0
632,0.453,0
633,0.92,1
634,0.651,0
635,-0.43,-1
636,-2.155,-3
637,1.327,1
638,-1.974,-3
639,3.285,4
640,1.902,2
641,-2.102,-1
642,-1.401,-2
643,-0.211,0
644,-2.077,-3
645,0.09,0
646,-0.55,-1
647,0.094,-1
648,0.293,0
649,1.123,2
650,0.5,0
651,-1.166,-2
652,2.354,3
653,1.106,1
654,-0.983,-1
655,0.426,0
656,2.889,4
657,-0.563,-1
658,-1.187,-2
659,0.172,0
660,-0.747,-1
661,1.153,2
662,0.165,0
663,-0.77,-1
664,-0.011,0
665,0.631,1
666,1.656,2
667,1.146,2
668,-0.837,0
669,0.083,0
670,0.113,0
671,2.876,4
672,1.745,2
673,-0.412,0
674,2.485,3
675,4.154,6
676,-1.273,-1
677,1.408,2
678,0.437,0
679,3.273,5
680,0.936,1
681,0.19,0
682,1.502,1
683,0.409,1
684,0.662,1
685,2.234,3
686,2.272,3
687,2.129,3
688,3.144,4
689,1.172,1
690,-1.71,-3
691,0.339,0
692,0.2,0
693,-1.277,-2
694,-2.005,-3
695,-0.394,0
696,0.36,0
697,0.966,1
698,0.88,0
699,0.075,0
700,-0.02,0
701,1.804,3
702,-0.67,-1
703,-0.818,-1
704,-0.152,0
705,0.61,0
706,0.354,2
707,-0.01,0
708,-1.832,-1
709,-0.533,-1
710,2.165,3
711,2.256,3
712,-2.15,-3
713,-0.483,-1
714,-1.247,-2
715,2.294,3
716,1.163,2
717,-0.802,-1
718,1.514,2
719,2.128,3
720,0.436,1
721,0.256,0
722,2.88,4
723,0.339,0
724,0.121,0
725,-1.152,-2
726,0.257,0
727,-0.871,-1
728,1.503,2
729,1.316,2
730,5.365,7
731,-0.05,-1
732,1.176,2
733,-2.236,-3
734,-0.525,0
735,-0.169,0
736,-2.487,-3
737,0.208,0
738,-0.738,0
739,-0.418,0
740,0.708,1
741,-0.439,0
742,2.678,4
743,-0.651,-1
744,-0.258,0
745,1.951,3
746,1.398,2
747,-0.036,0
748,-1.076,-2
749,-2.431,-2
750,1.606,2
751,-0.92,-2
752,1.76,2
753,-2.114,-3
754,2.266,3
755,0.523,1
756,1.01,1
757,1.759,2
758,2.131,3
759,-0.207,0
760,-0.907,-1
761,1.251,2
762,0.432,1
763,0.463,1
764,-0.385,-1
765,1.876,2
766,-0.028,0
767,1.127,0
768,0.761,0
769,1.384,2
770,-0.796,-1
771,-0.007,0
772,-3.852,-6
773,-4.153,-6
774,3.074,4
775,-0.334,-1
776,0.174,0
777,-0.059,0
778,-0.543,-1
779,2.745,4
780,1.182,1
781,-0.583,-1
782,-2.248,-2
783,0.801,1
784,-0.744,-1
785,-1.855,-2
786,-1.869,-2
787,1.408,2
788,0.434,0
789,0.189,0
790,6.036,8
791,2.63,4
792,-1.464,-3
793,1.147,1
794,0.066,0
795,-1.898,-3
796,-1.32,-2
797,-0.21,0
798,-0.397,0
799,-0.521,0
800,1.641,2
801,-0.012,0
802,-0.813,-1
803,-2.981,-4
804,1.067,2
805,1.19,2
806,-3.463,-4
807,-0.041,0
808,0.954,1
809,-1.58,-2
810,-0.85,-1
811,-0.655,-1
812,-4.927,-6
813,-0.527,-1
814,-2.353,-4
815,0.179,0
816,0.506,1
817,-0.084,0
818,-1.899,-3
819,2.083,3
820,2.639,4
821,0.435,0
822,-0.48,-1
823,-0.766,-1
824,0.235,0
825,2.17,3
826,1.581,2
827,1.946,2
828,0.014,0
829,-0.133,-1
830,0.16,0
831,1.051,1
832,0.008,-1
833,-1.476,0
834,-2.757,-3
835,3.49,5
836,-1.93,-2
837,-0.849,-1
838,0.903,1
839,2.111,3
840,1.524,2
841,2.989,4
842,-2.086,-2
843,-1.405,-2
844,-1.095,0
845,0.299,0
846,1.767,3
847,0.235,0
848,0.25,1
849,0.042,0
850,0.22,0
851,-1.397,-2
852,-1.184,-2
853,-1.937,-3
854,1.312,1
855,-0.829,-1
856,1.303,1
857,-1.044,-1
858,2.008,2
859,-0.361,-1
860,0.162,1
861,-2.103,-3
862,0.314,-1
863,2.889,4
864,-0.159,-1
865,-0.166,0
866,0.811,1
867,0.509,0
868,-0.158,0
869,-3.269,-4
870,2.569,3
871,0.828,1
872,-2.802,-4
873,1.219,2
874,1.296,2
875,3.396,4
876,1.913,2
877,2.143,3
878,0.241,0
879,-1.453,-2
880,-1.243,-2
881,1.276,2
882,-1.448,-1
883,1.473,2
884,-0.335,0
885,1.352,2
886,0.414,1
887,1.123,2
888,1.856,2
889,0.608,1
890,1.861,2
891,2.001,3
892,0.376,0
893,0.002,0
894,1.527,2
895,-0.859,-1
896,0.586,1
897,-0.847,-2
898,-1.759,-2
899,0.247,0
900,2.126,3
901,1.043,1
902,0.545,0
903,-0.099,0
904,1.367,2
905,0.506,1
906,0.066,1
907,0.149,0
908,1.114,2
909,1.72,2
910,-0.479,-1
911,-1.01,-2
912,-1.132,-1
913,0.09,0
914,-0.464,-1
915,1.812,2
916,1.351,2
917,2.405,3
918,1.44,2
919,-0.853,-1
920,-4.147,-5
921,0.788,1
922,-1.205,-1
923,-0.047,0
924,-1.047,-2
925,-0.139,0
926,-1.633,-2
927,-1.886,-3
928,-0.059,0
929,1.555,2
930,0.173,1
931,1.244,1
932,-0.358,-1
933,-0.06,0
934,1.186,2
935,-2.262,-3
936,-0.821,-1
937,-1.793,-2
938,2.432,3
939,1.951,3
940,0.388,0
941,-1.799,-1
942,-2.566,-2
943,1.277,1
944,0.314,0
945,-1.28,-2
946,1.94,2
947,0.842,1
948,-1.461,-2
949,-0.549,-1
950,0.861,1
951,-2.07,-2
952,-5.877,-8
953,-1.393,-2
954,0.419,0
955,1.909,3
956,1.669,3
957,2.231,2
958,3.214,4
959,-2.712,-3
960,1.056,2
961,-1.257,-2
962,2.512,4
963,4.317,5
964,0.392,0
965,0.616,1
966,0.368,0
967,-0.424,-1
968,0.022,-1
969,2.291,3
970,0.102,0
971,0.444,0
972,-0.977,-1
973,1.985,3
974,-3.526,-5
975,-0.253,-1
976,-0.881,-1
977,-3.572,-5
978,0.897,1
979,-2.974,-4
980,0.662,1
981,-1.31,-2
982,-0.398,0
983,0.032,0
984,1.258,2
985,-1.151,-2
986,-1.105,0
987,0.02,0
988,1.848,2
989,1.266,1
990,0.191,1
991,2.063,3
992,0.129,0
993,-1.434,-2
994,3.359,5
995,0.416,0
996,-0.272,0
997,-0.615,-1
998,-2.978,-4
999,-2.054,-3
1000,1.036,1
1001,-1.015,-1
1002,-0.127,0
1003,2.568,4
1004,2.204,3
1005,1.409,2
1006,-1.884,-3
1007,-0.603,-1
1008,3.793,4
1009,-1.746,-2
1010,-1.019,-1
1011,3.843,6
1012,0.951,1
1013,-0.609,-1
1014,-2.545,-3
1015,1.203,1
1016,-0.532,-1
1017,0.706,0
1018,0.746,0
1019,2.8,4
1020,0.354,1
1021,0.373,0
1022,-3.55,-5
1023,0.564,0
1024,-0.828,-1
1025,0.459,1
1026,-0.695,-1
1027,0.367,1
1028,1.796,2
1029,1.073,2
1030,3.835,5
1031,-0.237,0
1032,-4.907,-6
1033,1.374,1
1034,3.152,5
1035,-0.218,0
1036,0.744,1
1037,-0.225,0
1038,-3.938,-5
1039,-0.468,-1
1040,2.723,3
1041,0.963,1
1042,-0.07,0
1043,-0.121,0
1044,-1.691,-2
1045,0.973,1
1046,2.149,3
1047,-0.732,-2
1048,0.073,0
1049,-1.158,-1
1050,-2.296,-4
